,return,iv,ive,rv,realiv
2022-03-31,,33.5574,38.0144,33.72,30.438258619614384
2022-04-29,,38.0144,37.9819,41.05,35.29140264135911
2022-05-30,,37.9819,36.9572,51.65,35.256392620977685
2022-06-28,,36.9572,35.2196,31.14,34.15559079496335
2022-07-27,,35.2196,34.4923,32.06,32.26747549581444
2022-08-25,,34.4923,38.1272,31.95,31.472027421235275
2022-09-23,,38.1272,37.2596,38.34,35.41825984648293
2022-10-24,,37.2596,34.1765,31.54,34.33627203973259
2022-11-22,,34.1765,33.296,31.63,30.96344518422525
2022-12-21,,33.296,30.221,31.74,30.70600744745661
2023-01-19,,30.221,29.8605,20.97,27.341253050349778
2023-02-17,,29.8605,30.5011,23.11,26.942248191516256
2023-03-20,,30.5011,27.2823,22.23,27.955768693706016
2023-04-18,,27.2823,29.8061,29.23,24.403520142307205
2023-05-17,,29.8061,30.9826,33.9,27.195799294302667
2023-06-15,,30.9826,28.0005,25.49,28.480333649836226
2023-07-14,,28.0005,30.0039,16.06,25.44961809851542
2023-08-14,,30.0039,29.8652,36.21,27.63854331038964
2023-09-12,,29.8652,30.398,64.75,27.48791065450926
2023-10-11,,30.398,31.289,27.89,28.55152234536002
2023-11-09,,31.289,29.4936,47.13,29.49834817811995
2023-12-08,,29.4936,29.1694,47.56,27.58665375136304
2024-01-08,,29.1694,30.6958,26.86,27.244473447334254
2024-02-06,,30.6958,36.051,24.98,28.8728172283638
2024-03-06,,36.051,33.2085,66.66,34.51205641601934
2024-04-04,,33.2085,35.2752,39.05,31.540924039964207
2024-05-03,,35.2752,35.4867,24.73,33.71001560493249
2024-06-03,,35.4867,33.2744,51.19,33.93127309628673
2024-07-02,,33.2744,35.5872,25.95,31.014363480296392
2024-07-31,,35.5872,36.0839,42.18,33.483635563778655
