,return,iv,ive,rv,realiv
2022-03-02,,48.1366,55.1912,154.3,47.08874863962315
2022-03-31,,55.1912,58.5192,63.21,54.147874515267546
2022-04-29,,58.5192,53.8842,69.24,57.53625401189375
2022-05-30,,53.8842,54.3221,64.69,52.27634834072016
2022-06-28,,54.3221,49.5376,35.61,52.72760315631951
2022-07-27,,49.5376,48.2553,50.92,47.78371479866666
2022-08-25,,48.2553,50.09,52.83,46.24941377624927
2022-09-23,,50.09,63.6948,72.23,48.16058966163845
2022-10-24,,63.6948,58.6779,81.23,62.18892058555701
2022-11-22,,58.6779,55.6542,51.66,56.49096193565808
2022-12-21,,55.6542,47.7092,60.98,53.34344204910262
2023-01-19,,47.7092,46.5279,39.79,44.99222818049768
2023-02-17,,46.5279,48.9297,65.28,43.73760750676664
2023-03-20,,48.9297,46.5647,49.93,46.223489353056046
2023-04-18,,46.5647,46.5735,49.16,43.71231762297769
2023-05-17,,46.5735,47.1134,46.5,44.14461403626533
2023-06-15,,47.1134,45.9264,48.81,44.7138513854581
2023-07-14,,45.9264,46.467,46.29,43.4613651778316
2023-08-14,,46.467,42.1559,33.93,44.032239724556746
2023-09-12,,42.1559,42.777,26.84,39.564412960757
2023-10-11,,42.777,44.67,46.8,40.22554657328247
2023-11-09,,44.67,42.0847,37.32,42.23306486769953
2023-12-08,,42.0847,45.7446,46.92,39.87692233897059
2024-01-08,,45.7446,51.0874,50.93,43.72202408738977
2024-02-06,,51.0874,46.4315,74.13,49.28457567939783
2024-03-06,,46.4315,47.4288,66.52,44.440197494928974
2024-04-04,,47.4288,49.1402,56.4,45.14472115553376
2024-05-03,,49.1402,44.7423,37.49,46.9394720337894
2024-06-03,,44.7423,40.349,27.6,42.31232871380174
2024-07-02,,40.349,40.2585,38.53,37.63643916332696
2024-07-31,,40.2585,40.3379,47.14,37.53940029015929
