,return,iv,ive,rv
2022-01-19,,56.4867,61.5034,66.74
2022-02-17,,61.5034,58.9931,126.65
2022-03-18,,58.9931,58.6277,36.09
2022-04-18,,58.6277,65.6361,61.58
2022-05-17,,65.6361,62.5372,79.12
2022-06-15,,62.5372,63.2144,60.2
2022-07-14,,63.2144,62.8776,65.43
2022-08-12,,62.8776,59.0277,91.19
2022-09-12,,59.0277,64.8122,57.51
2022-10-11,,64.8122,65.4795,47.4
2022-11-09,,65.4795,60.1546,71.69
2022-12-08,,60.1546,59.0805,43.13
2023-01-06,,59.0805,57.5046,91.53
2023-02-06,,57.5046,50.8199,52.25
2023-03-07,,50.8199,57.2674,44.82
2023-04-05,,57.2674,58.1911,45.13
2023-05-04,,58.1911,51.3648,68.1
2023-06-02,,51.3648,46.9508,51.31
2023-07-03,,46.9508,46.7497,35.96
2023-08-01,,46.7497,48.2631,55.4
2023-08-30,,48.2631,50.4127,31.08
2023-09-28,,50.4127,56.848,35.9
2023-10-27,,56.848,49.5219,58.92
2023-11-27,,49.5219,49.8283,51.41
2023-12-26,,49.8283,49.155,40.94
2024-01-24,,49.155,50.4334,37.42
2024-02-22,,50.4334,42.8743,78.45
2024-03-22,,42.8743,45.0273,52.33
2024-04-22,,45.0273,41.6344,35.65
2024-05-21,,41.6344,39.5388,35.8
2024-06-19,,39.5388,42.2926,36.48
2024-07-18,,42.2926,42.4318,40.93
