,return,iv,ive,rv,realiv
2022-04-29,,45.4738,45.32,86.37,44.29771570532835
2022-05-30,,45.32,45.9454,62.75,44.19759444908901
2022-06-28,,45.9454,49.3634,37.32,44.83865225724502
2022-07-27,,49.3634,47.8524,53.23,48.3349792039486
2022-08-25,,47.8524,51.6109,40.08,46.00917411144021
2022-09-23,,51.6109,46.2396,49.5,49.90668207231192
2022-10-24,,46.2396,46.9164,80.33,44.32936413729414
2022-11-22,,46.9164,46.8064,30.95,44.87466546324405
2022-12-21,,46.8064,42.9891,32.71,44.75964803746861
2023-01-19,,42.9891,41.5566,33.26,40.75107029622741
2023-02-17,,41.5566,50.8715,59.27,39.23694706571942
2023-03-20,,50.8715,44.7705,34.13,49.39026750363603
2023-04-18,,44.7705,42.3828,73.68,43.0800032739173
2023-05-17,,42.3828,42.9789,40.98,39.98279867898079
2023-06-15,,42.9789,39.9532,26.85,40.61413915835109
2023-07-14,,39.9532,39.2551,26.16,37.397602123717874
2023-08-14,,39.2551,34.7282,51.27,35.99917831073595
2023-09-12,,34.7282,35.8501,23.83,31.000416743620757
2023-10-11,,35.8501,38.3609,53.16,32.2522500462861
2023-11-09,,38.3609,33.8995,45.82,34.92770686158524
2023-12-08,,33.8995,33.9256,21.85,29.959341749257923
2024-01-08,,33.9256,38.442,18.69,29.988871155127345
2024-02-06,,38.442,35.7509,36.59,35.01675915613592
2024-03-06,,35.7509,37.7654,33.63,32.361753105409626
2024-04-04,,37.7654,39.8659,26.59,34.57429175565986
2024-05-03,,39.8659,35.9837,33.84,36.85710509597152
2024-06-03,,35.9837,35.7281,31.64,32.445894064846016
2024-07-02,,35.7281,37.5149,30.61,32.16219062170998
2024-07-31,,37.5149,39.5254,72.47,34.13615529006173
