,return,iv,ive,rv,realiv
2022-05-30,,61.2835,62.9189,72.39,60.0950979284068
2022-06-28,,62.9189,57.4194,49.56,61.761973737768486
2022-07-27,,57.4194,57.0551,47.71,56.14927354057935
2022-08-25,,57.0551,55.8477,42.65,55.70725844319196
2022-09-23,,55.8477,59.0364,58.35,54.46998992598201
2022-10-24,,59.0364,55.6378,83.06,57.73483118713158
2022-11-22,,55.6378,53.9066,51.13,53.78298020486801
2022-12-21,,53.9066,49.1653,41.83,51.99005380298451
2023-01-19,,49.1653,46.2013,78.74,47.0560399414063
2023-02-17,,46.2013,48.3472,33.27,44.15185382449736
2023-03-20,,48.3472,43.2886,25.68,46.39264836469009
2023-04-18,,43.2886,41.7968,52.71,41.09414756884223
2023-05-17,,41.7968,45.0686,71.08,39.343142879033685
2023-06-15,,45.0686,38.9691,28.23,42.802910033315015
2023-07-14,,38.9691,41.2445,78.48,36.32493848817997
2023-08-14,,41.2445,40.9423,27.36,38.15119729518013
2023-09-12,,40.9423,44.7429,27.44,37.824291190923326
2023-10-11,,44.7429,43.651,57.33,41.90861695660881
2023-11-09,,43.651,40.9879,23.36,40.55104663391436
2023-12-08,,40.9879,43.039,41.91,37.66942431888092
2024-01-08,,43.039,43.8027,29.04,39.891516680942296
2024-02-06,,43.8027,39.9302,32.54,40.71429858656412
2024-03-06,,39.9302,41.1758,30.02,35.63503661915696
2024-04-04,,41.1758,43.3234,32.63,37.02541651958365
2024-05-03,,43.3234,39.904,90.61,39.39989784718557
2024-06-03,,39.904,40.4395,22.11,35.181269918230974
2024-07-02,,40.4395,43.7314,22.54,35.78750755933449
2024-07-31,,43.7314,40.0787,55.9,39.46932838318158
