,return,iv,ive,rv,realiv
2022-02-01,,36.4103,41.7682,56.33,35.80997969125313
2022-03-02,,41.7682,41.8602,58.1,41.03989365137739
2022-03-31,,41.8602,45.2365,37.88,41.133522627126965
2022-04-29,,45.2365,40.7194,47.42,44.56491076986877
2022-05-30,,40.7194,41.9039,53.17,39.78255837695185
2022-06-28,,41.9039,41.0769,43.5,40.99413677424592
2022-07-27,,41.0769,40.1742,45.76,40.14840131643577
2022-08-25,,40.1742,43.9444,39.28,39.23161334392474
2022-09-23,,43.9444,43.5272,41.47,43.084375721219565
2022-10-24,,43.5272,39.6903,44.78,42.65876556778471
2022-11-22,,39.6903,38.4502,26.59,38.60067935184254
2022-12-21,,38.4502,34.3023,26.47,37.32439433364945
2023-01-19,,34.3023,33.1248,31.57,33.035440327378154
2023-02-17,,33.1248,35.5632,34.55,31.952105571454165
2023-03-20,,35.5632,31.2697,19.78,34.47355319153151
2023-04-18,,31.2697,30.3401,28.85,30.02463677547744
2023-05-17,,30.3401,30.5345,32.63,29.383810677480017
2023-06-15,,30.5345,27.4952,21.99,29.584495131233677
2023-07-14,,27.4952,28.2548,22.18,26.43620027462322
2023-08-14,,28.2548,26.9063,18.3,27.29469121105484
2023-09-12,,26.9063,29.2711,27.13,25.89624345260977
2023-10-11,,29.2711,28.6025,27.89,28.3454359726012
2023-11-09,,28.6025,27.1899,26.54,27.8135584940894
2023-12-08,,27.1899,26.6333,31.7,26.35871187793768
2024-01-08,,26.6333,26.6714,18.64,25.78417535513076
2024-02-06,,26.6714,27.0537,20.42,25.823528182921333
2024-03-06,,27.0537,27.2435,20.69,26.28895610986904
2024-04-04,,27.2435,25.2136,38.97,26.484237234751934
2024-05-03,,25.2136,24.3671,17.68,24.38698932142143
2024-06-03,,24.3671,27.2876,22.98,23.510746173040168
2024-07-02,,27.2876,27.5811,27.82,26.525699556526742
2024-07-31,,27.5811,27.251,28.68,26.72016568782402
