,return,iv,ive,rv,realiv
2022-04-29,,44.8092,44.1806,43.26,42.4231014621776
2022-05-30,,44.1806,44.1002,41.41,41.7585985084535
2022-06-28,,44.1002,41.0816,40.8,41.67352604556297
2022-07-27,,41.0816,41.957,38.72,38.197949864910925
2022-08-25,,41.957,45.3654,44.79,39.1379018896293
2022-09-23,,45.3654,48.9902,65.76,42.77154465859572
2022-10-24,,48.9902,45.2355,46.4,46.79360333816119
2022-11-22,,45.2355,43.6136,32.92,42.8468444296563
2022-12-21,,43.6136,41.3528,27.07,41.13086094758009
2023-01-19,,41.3528,38.1957,38.55,38.72538812160789
2023-02-17,,38.1957,37.5845,29.33,35.32623798957792
2023-03-20,,37.5845,36.4765,67.93,34.6644808450422
2023-04-18,,36.4765,38.0111,25.6,33.6824999846101
2023-05-17,,38.0111,36.1181,29.01,35.338639987600814
2023-06-15,,36.1181,33.229,39.69,33.294037012252794
2023-07-14,,33.229,33.7405,28.74,30.2206858992718
2023-08-14,,33.7405,35.2689,24.68,30.782214921484208
2023-09-12,,35.2689,35.1102,34.95,32.45024995947559
2023-10-11,,35.1102,36.6417,31.81,31.70131752303354
2023-11-09,,36.6417,35.6358,29.17,33.38954278731881
2023-12-08,,35.6358,37.1812,36.41,32.28246629822749
2024-01-08,,37.1812,34.9851,32.45,33.98071544414851
2024-02-06,,34.9851,35.0754,22.52,31.465156757537443
2024-03-06,,35.0754,37.2735,54.14,31.565527920920385
2024-04-04,,37.2735,34.9809,34.92,32.96703236056996
2024-05-03,,34.9809,34.2971,25.42,30.350861358829125
2024-06-03,,34.2971,33.0582,61.41,29.56015035183121
2024-07-02,,33.0582,32.9268,28.62,27.77014084829728
2024-07-31,,32.9268,34.1511,36.23,27.613588932521417
