,return,iv,ive,rv,realiv
2022-03-02,,62.4764,66.8896,165.99,61.28719618042166
2022-03-31,,66.8896,71.4916,57.09,65.78022838860846
2022-04-29,,71.4916,66.0093,77.93,70.45472822499205
2022-05-30,,66.0093,70.6599,73.58,64.45898099121548
2022-06-28,,70.6599,65.0468,50.49,69.21382818444503
2022-07-27,,65.0468,61.819,46.92,63.47297640867237
2022-08-25,,61.819,65.2996,59.2,60.22684201150156
2022-09-23,,65.2996,85.9937,106.78,63.79436885680717
2022-10-24,,85.9937,79.5949,103.51,84.85635024774733
2022-11-22,,79.5949,74.5479,94.25,78.36473597025876
2022-12-21,,74.5479,65.9548,67.08,73.07277291323922
2023-01-19,,65.9548,62.9164,58.78,64.28278455278543
2023-02-17,,62.9164,61.4691,47.66,61.16137781132655
2023-03-20,,61.4691,55.0095,40.82,59.61759705119505
2023-04-18,,55.0095,53.5007,62.59,52.93252982428349
2023-05-17,,53.5007,52.5901,41.57,51.79429140804196
2023-06-15,,52.5901,52.9946,40.96,50.85314483865446
2023-07-14,,52.9946,54.6505,59.34,51.27135019805085
2023-08-14,,54.6505,54.837,45.75,52.675179184529554
2023-09-12,,54.837,55.6122,50.27,52.86864780635397
2023-10-11,,55.6122,53.2892,49.79,53.67228466082188
2023-11-09,,53.2892,51.6395,49.71,51.26144934073066
2023-12-08,,51.6395,50.5979,48.0,49.47278884558726
2024-01-08,,50.5979,52.8291,53.18,48.38456737762635
2024-02-06,,52.8291,55.4959,100.4,50.71323971824383
2024-03-06,,55.4959,57.2248,68.98,53.33994445082672
2024-04-04,,57.2248,61.3024,71.29,55.136489661994986
2024-05-03,,61.3024,60.9411,64.79,59.35772066856408
2024-06-03,,60.9411,60.9694,38.96,58.814457229909664
2024-07-02,,60.9694,58.8095,46.87,58.84378001453402
2024-07-31,,58.8095,57.1534,82.69,56.60282678708611
