,return,iv,ive,rv,realiv
2022-02-01,,37.6882,41.5693,53.75,36.78867624421327
2022-03-02,,41.5693,37.928,44.14,40.74139745088518
2022-03-31,,37.928,42.4205,35.74,37.01875129932117
2022-04-29,,42.4205,40.1247,56.03,41.609537176120966
2022-05-30,,40.1247,42.1547,51.2,39.14452758699414
2022-06-28,,42.1547,39.2613,31.21,41.22282404213648
2022-07-27,,39.2613,37.169,47.64,38.25901420069452
2022-08-25,,37.169,43.0863,39.57,36.18162254153951
2022-09-23,,43.0863,42.3539,47.75,42.23747739186658
2022-10-24,,42.3539,42.1032,147.81,41.49009633573343
2022-11-22,,42.1032,46.7775,56.69,41.0592677056856
2022-12-21,,46.7775,42.5675,31.47,45.84014093059877
2023-01-19,,42.5675,39.3891,45.07,41.53523890068717
2023-02-17,,39.3891,65.6411,69.86,37.601208397821736
2023-03-20,,65.6411,60.3835,51.23,64.58408227556089
2023-04-18,,60.3835,60.8984,56.6,59.23273374086679
2023-05-17,,60.8984,49.1159,51.19,59.45346210743927
2023-06-15,,49.1159,48.7523,29.65,47.31247897553792
2023-07-14,,48.7523,43.0963,30.06,46.934910134043264
2023-08-14,,43.0963,39.4857,32.25,40.43172202379692
2023-09-12,,39.4857,42.5048,34.74,36.55890557182457
2023-10-11,,42.5048,44.2516,54.99,39.80064189381354
2023-11-09,,44.2516,41.1864,32.69,41.50874442955536
2023-12-08,,41.1864,37.6023,36.95,38.22422408000119
2024-01-08,,37.6023,37.7724,26.52,34.332269468360856
2024-02-06,,37.7724,38.5123,41.43,34.51848726868173
2024-03-06,,38.5123,38.8138,37.49,35.78905942337201
2024-04-04,,38.8138,35.5981,30.63,36.11330216914057
2024-05-03,,35.5981,34.8036,27.82,32.88089419408853
2024-06-03,,34.8036,32.5596,23.22,32.01904202740683
2024-07-02,,32.5596,33.2914,22.92,29.56443863077473
2024-07-31,,33.2914,31.2257,50.36,30.368500018157714
