,return,iv,ive,rv,realiv
2022-04-29,,46.5278,43.9964,61.71,45.37493548772487
2022-05-30,,43.9964,44.7166,53.56,42.775364529541925
2022-06-28,,44.7166,42.3208,50.54,43.515777750549205
2022-07-27,,42.3208,43.1504,52.95,41.0499538405976
2022-08-25,,43.1504,47.1055,36.71,42.01063712038985
2022-09-23,,47.1055,50.6248,66.14,46.063703079008725
2022-10-24,,50.6248,45.5678,63.57,49.548236279787055
2022-11-22,,45.5678,44.7692,38.65,44.368702260012135
2022-12-21,,44.7692,41.123,46.33,43.54811835243408
2023-01-19,,41.123,39.4312,41.87,39.79018060272667
2023-02-17,,39.4312,40.6424,32.79,38.225037304901264
2023-03-20,,40.6424,38.7475,37.61,39.473264639260506
2023-04-18,,38.7475,36.7958,40.12,37.51936433058393
2023-05-17,,36.7958,36.7348,37.21,35.647760211596626
2023-06-15,,36.7348,34.9459,28.31,35.584792278492955
2023-07-14,,34.9459,36.6698,47.89,33.734964610526745
2023-08-14,,36.6698,36.0412,26.24,35.46398429633133
2023-09-12,,36.0412,37.7773,28.03,34.81361870835084
2023-10-11,,37.7773,35.2593,32.09,36.60798199055002
2023-11-09,,35.2593,33.5248,28.49,34.035043170133896
2023-12-08,,33.5248,34.6911,35.59,32.23473502516932
2024-01-08,,34.6911,33.3162,32.64,33.44605128132285
2024-02-06,,33.3162,38.1506,36.93,31.939417837357528
2024-03-06,,38.1506,38.0512,29.98,36.95437064420543
2024-04-04,,38.0512,35.2063,36.69,36.85174420280961
2024-05-03,,35.2063,35.713,28.31,33.69273448383235
2024-06-03,,35.713,37.1869,34.56,34.22185217529913
2024-07-02,,37.1869,40.5554,63.04,35.75726959539872
2024-07-31,,40.5554,42.0641,62.28,39.24865942255895
