,return,iv,ive,rv
2022-01-19,,49.1527,49.0865,84.06
2022-02-17,,49.0865,49.3167,33.29
2022-03-18,,49.3167,52.1063,30.77
2022-04-18,,52.1063,51.3804,62.1
2022-05-17,,51.3804,51.3783,46.52
2022-06-15,,51.3783,47.6145,47.15
2022-07-14,,47.6145,43.3737,54.03
2022-08-12,,43.3737,43.4894,27.15
2022-09-12,,43.4894,47.0176,28.21
2022-10-11,,47.0176,53.0407,121.84
2022-11-09,,53.0407,57.7851,25.85
2022-12-08,,57.7851,46.2278,30.63
2023-01-06,,46.2278,39.1122,88.29
2023-02-06,,39.1122,41.0019,21.48
2023-03-07,,41.0019,42.1771,33.64
2023-04-05,,42.1771,40.0015,47.18
2023-05-04,,40.0015,36.9722,16.05
2023-06-02,,36.9722,40.7911,21.81
2023-07-03,,40.7911,40.5523,22.86
2023-08-01,,40.5523,39.2964,22.13
2023-08-30,,39.2964,37.9244,19.73
2023-09-28,,37.9244,36.8665,59.91
2023-10-27,,36.8665,36.8783,18.53
2023-11-27,,36.8783,41.0583,22.37
2023-12-26,,41.0583,37.2731,18.97
2024-01-24,,37.2731,38.8994,32.24
2024-02-22,,38.8994,42.3484,21.1
2024-03-22,,42.3484,40.5886,17.8
2024-04-22,,40.5886,35.2601,39.26
2024-05-21,,35.2601,39.3732,19.13
2024-06-19,,39.3732,41.9396,22.17
2024-07-18,,41.9396,37.6114,41.72
