,return,iv,ive,rv,realiv
2022-03-31,,38.3924,43.6217,44.78,35.10906002399401
2022-04-29,,43.6217,49.1324,77.11,40.7617765670047
2022-05-30,,49.1324,45.9604,39.47,46.611827337795006
2022-06-28,,45.9604,43.0638,50.65,42.793837882451214
2022-07-27,,43.0638,42.0909,31.35,39.66667446345253
2022-08-25,,42.0909,43.8,47.21,38.6082640811461
2022-09-23,,43.8,45.6942,44.82,40.12552548989468
2022-10-24,,45.6942,43.3995,49.65,42.18504129997016
2022-11-22,,43.3995,41.0466,56.06,39.687962861429256
2022-12-21,,41.0466,38.6444,45.19,37.440021481840205
2023-01-19,,38.6444,37.7815,27.54,34.789675025223445
2023-02-17,,37.7815,40.1993,23.72,33.82859115083949
2023-03-20,,40.1993,33.058,44.46,36.50911608750143
2023-04-18,,33.058,34.34,15.59,28.613989332349245
2023-05-17,,34.34,31.148,44.79,30.085953890674578
2023-06-15,,31.148,31.7411,21.08,26.864984767062268
2023-07-14,,31.7411,32.3673,18.81,27.55044340377279
2023-08-14,,32.3673,29.2526,31.24,28.269623482184684
2023-09-12,,29.2526,33.03,23.57,24.430887944853183
2023-10-11,,33.03,33.9631,39.17,28.84674295330363
2023-11-09,,33.9631,31.5821,32.7,29.910630896455068
2023-12-08,,31.5821,31.0076,26.17,27.621831100470654
2024-01-08,,31.0076,31.6324,25.62,26.963081624564506
2024-02-06,,31.6324,36.8237,23.02,27.679328797731497
2024-03-06,,36.8237,34.1574,65.27,33.48912352724282
2024-04-04,,34.1574,35.7063,23.93,30.000558139891663
2024-05-03,,35.7063,40.4262,36.43,31.752879769164554
2024-06-03,,40.4262,35.7423,26.15,36.98084856226287
2024-07-02,,35.7423,41.9244,42.41,31.087804540244136
2024-07-31,,41.9244,43.9341,40.68,38.03412805892129
