,return,iv,ive,rv,realiv
2022-04-29,,52.9296,51.5144,73.51,51.77446584643644
2022-05-30,,51.5144,52.7988,59.17,50.326793707565095
2022-06-28,,52.7988,48.2831,48.47,51.6407401085985
2022-07-27,,48.2831,44.8123,29.97,47.13576867324813
2022-08-25,,44.8123,51.6708,44.57,43.57367524203071
2022-09-23,,51.6708,56.1302,78.88,50.6003410605893
2022-10-24,,56.1302,48.9373,41.61,55.14625882028075
2022-11-22,,48.9373,44.3288,28.71,47.80554194989732
2022-12-21,,44.3288,41.1984,35.84,43.07613050487929
2023-01-19,,41.1984,35.9962,27.59,39.847442482465446
2023-02-17,,35.9962,39.7546,31.68,34.51153164574018
2023-03-20,,39.7546,34.5566,23.67,38.415460732040245
2023-04-18,,34.5566,36.0908,29.7,33.00724171534068
2023-05-17,,36.0908,34.7214,36.99,34.80636350759446
2023-06-15,,34.7214,32.1059,29.25,33.38431838367834
2023-07-14,,32.1059,33.4803,27.6,30.6549492055166
2023-08-14,,33.4803,32.8651,29.22,31.99145989450529
2023-09-12,,32.8651,34.6148,24.18,31.347054344894044
2023-10-11,,34.6148,31.5287,27.81,33.176910602582346
2023-11-09,,31.5287,30.8703,29.17,30.003345607930992
2023-12-08,,30.8703,30.5138,31.0,29.31070190338252
2024-01-08,,30.5138,30.0224,29.1,28.93499290511321
2024-02-06,,30.0224,31.5145,31.16,28.226541995281284
2024-03-06,,31.5145,31.2392,22.52,29.80867124682645
2024-04-04,,31.2392,30.3006,39.97,29.517465810793745
2024-05-03,,30.3006,29.9788,17.58,28.528825801137536
2024-06-03,,29.9788,31.0326,26.79,28.186805258341195
2024-07-02,,31.0326,31.265,21.39,29.305115662485463
2024-07-31,,31.265,32.4178,26.61,29.27114544857769
