,return,iv,ive,rv,realiv
2022-04-29,,36.7752,34.043,28.0,34.64837083786697
2022-05-30,,34.043,34.2255,29.93,31.733580253074983
2022-06-28,,34.2255,31.5473,18.09,31.929283063174942
2022-07-27,,31.5473,29.916,20.25,29.040082712835897
2022-08-25,,29.916,32.594,23.63,27.212451509114626
2022-09-23,,32.594,32.3749,26.19,30.131699207577302
2022-10-24,,32.3749,28.8753,23.9,29.78770420758931
2022-11-22,,28.8753,28.4038,14.66,25.941397842807817
2022-12-21,,28.4038,25.6933,39.29,25.41552726954202
2023-01-19,,25.6933,25.9046,14.04,23.03618835303688
2023-02-17,,25.9046,25.5163,16.59,23.27162671810013
2023-03-20,,25.5163,23.5465,16.4,22.83860491879029
2023-04-18,,23.5465,22.8546,9.88,20.52887588322644
2023-05-17,,22.8546,24.9162,16.45,19.73144252047772
2023-06-15,,24.9162,24.1198,13.21,22.08651410292978
2023-07-14,,24.1198,25.5642,30.54,21.183999500068825
2023-08-14,,25.5642,24.8963,15.28,22.986581208509065
2023-09-12,,24.8963,27.6115,42.45,22.24141065007753
2023-10-11,,27.6115,27.7851,36.1,24.87354166947972
2023-11-09,,27.7851,26.8652,17.77,25.066111085354745
2023-12-08,,26.8652,23.1778,21.46,24.04240241684146
2024-01-08,,23.1778,24.6639,23.38,19.757718972414335
2024-02-06,,24.6639,27.7735,19.65,21.48173664681004
2024-03-06,,27.7735,29.8406,77.42,24.99048515741344
2024-04-04,,29.8406,31.5054,28.12,27.269368428933248
2024-05-03,,31.5054,30.8132,22.79,28.64939209280557
2024-06-03,,30.8132,31.4786,21.06,27.886389733475895
2024-07-02,,31.4786,40.0519,123.49,28.619917821113848
2024-07-31,,40.0519,42.3345,27.97,37.27271680146535
