,return,iv,ive,rv
2022-01-19,,51.8874,52.2341,64.27
2022-02-17,,52.2341,51.7008,56.87
2022-03-18,,51.7008,53.0573,51.55
2022-04-18,,53.0573,65.6534,142.51
2022-05-17,,65.6534,76.4265,101.73
2022-06-15,,76.4265,75.9391,78.37
2022-07-14,,75.9391,64.4446,98.23
2022-08-12,,64.4446,67.8528,77.99
2022-09-12,,67.8528,79.0013,85.36
2022-10-11,,79.0013,76.3886,106.25
2022-11-09,,76.3886,74.0458,66.44
2022-12-08,,74.0458,73.7004,54.91
2023-01-06,,73.7004,64.1836,60.84
2023-02-06,,64.1836,61.8739,165.44
2023-03-07,,61.8739,69.7578,66.18
2023-04-05,,69.7578,79.8793,46.95
2023-05-04,,79.8793,64.5264,86.28
2023-06-02,,64.5264,65.687,55.35
2023-07-03,,65.687,71.8842,64.27
2023-08-01,,71.8842,62.2769,70.62
2023-08-30,,62.2769,63.0573,58.9
2023-09-28,,63.0573,72.077,57.72
2023-10-27,,72.077,60.4934,59.36
2023-11-27,,60.4934,66.6202,72.83
2023-12-26,,66.6202,63.1123,45.42
2024-01-24,,63.1123,63.082,128.24
2024-02-22,,63.082,66.0656,57.12
2024-03-22,,66.0656,69.21,49.9
2024-04-22,,69.21,60.3119,47.11
2024-05-21,,60.3119,59.934,44.08
2024-06-19,,59.934,62.6227,40.92
2024-07-18,,62.6227,59.5886,87.16
