,return,iv,ive,rv,realiv
2022-04-29,,23.0666,22.0367,27.34,22.38880097612284
2022-05-30,,22.0367,21.6828,18.25,21.32619329553305
2022-06-28,,21.6828,20.3477,18.69,20.9603003181834
2022-07-27,,20.3477,20.2326,13.33,19.57090307042371
2022-08-25,,20.2326,23.0356,17.5,19.4512070181241
2022-09-23,,23.0356,23.6305,24.36,22.352409692512357
2022-10-24,,23.6305,19.82,20.73,22.965014303324967
2022-11-22,,19.82,20.4847,13.12,18.928358928229063
2022-12-21,,20.4847,20.0014,18.11,19.62328478634168
2023-01-19,,20.0014,17.5555,15.7,19.11822098616576
2023-02-17,,17.5555,19.5363,15.59,16.598788258469707
2023-03-20,,19.5363,16.8879,10.22,18.681306407462834
2023-04-18,,16.8879,16.718,8.87,15.891046466784742
2023-05-17,,16.718,14.7112,13.87,15.854727523380827
2023-06-15,,14.7112,14.414,11.71,13.722254416845995
2023-07-14,,14.414,15.3246,11.0,13.403143543238262
2023-08-14,,15.3246,15.1419,9.78,14.407379972357942
2023-09-12,,15.1419,18.7015,18.59,14.212894431392249
2023-10-11,,18.7015,16.7877,15.7,17.957598245809507
2023-11-09,,16.7877,15.2886,11.87,15.893027495227102
2023-12-08,,15.2886,15.0516,13.92,14.300445504740214
2024-01-08,,15.0516,15.2747,19.75,14.04678305641703
2024-02-06,,15.2747,15.5632,11.05,14.356701103625886
2024-03-06,,15.5632,17.0899,19.05,14.663273874849803
2024-04-04,,17.0899,16.141,11.25,16.27461484947809
2024-05-03,,16.141,17.2112,21.82,15.149884280376735
2024-06-03,,17.2112,18.3199,16.44,16.285346730997354
2024-07-02,,18.3199,18.7802,22.74,17.452961030117674
2024-07-31,,18.7802,18.612,21.77,17.670863985078174
