,return,iv,ive,rv,realiv
2022-02-01,,39.7465,40.8409,49.98,38.22428543347103
2022-03-02,,40.8409,36.2456,46.89,39.163747499069565
2022-03-31,,36.2456,43.8029,45.68,34.34477434371753
2022-04-29,,43.8029,38.6605,50.81,42.243509013467126
2022-05-30,,38.6605,40.5307,50.53,36.87519412630696
2022-06-28,,40.5307,37.7049,36.77,38.8314733701005
2022-07-27,,37.7049,37.2075,40.07,35.872066648198896
2022-08-25,,37.2075,41.847,42.57,35.32677227763402
2022-09-23,,41.847,42.7167,44.96,40.18400418457339
2022-10-24,,42.7167,38.999,58.85,41.088918727508656
2022-11-22,,38.999,38.0588,37.23,37.2006826183369
2022-12-21,,38.0588,36.5569,35.23,36.21382393106578
2023-01-19,,36.5569,34.7688,35.9,34.63200432952492
2023-02-17,,34.7688,35.6454,28.79,33.01395248506961
2023-03-20,,35.6454,34.9472,30.1,33.93591234085853
2023-04-18,,34.9472,33.4583,31.35,33.20178298053335
2023-05-17,,33.4583,33.7897,43.16,31.867216486548998
2023-06-15,,33.7897,32.2349,31.08,32.21498834084191
2023-07-14,,32.2349,33.2118,39.38,30.580229327468757
2023-08-14,,33.2118,32.0064,24.23,31.55957642678681
2023-09-12,,32.0064,33.1723,23.5,30.28849362312689
2023-10-11,,33.1723,33.0704,37.59,31.5180058425053
2023-11-09,,33.0704,30.7957,33.88,31.55093999062073
2023-12-08,,30.7957,31.6949,29.78,29.157942256300437
2024-01-08,,31.6949,30.097,28.07,30.106098122170373
2024-02-06,,30.097,32.9235,28.4,28.421236439585385
2024-03-06,,32.9235,33.9535,35.78,31.39895100166272
2024-04-04,,33.9535,34.5537,38.68,32.47733723698444
2024-05-03,,34.5537,31.8585,26.67,33.104311734951025
2024-06-03,,31.8585,31.9716,28.96,29.99655394841886
2024-07-02,,31.9716,36.5108,40.8,30.116647109039263
2024-07-31,,36.5108,37.8779,59.76,34.89796187702662
