,return,iv,ive,rv,realiv
2022-03-02,,63.0255,56.4803,118.64,59.037902409248304
2022-03-31,,56.4803,68.9219,63.65,50.82017461176015
2022-04-29,,68.9219,75.2747,120.57,64.3653179832881
2022-05-30,,75.2747,71.2376,108.75,71.12627024925311
2022-06-28,,71.2376,69.2235,85.35,66.58471413733183
2022-07-27,,69.2235,66.135,54.98,64.42531688117799
2022-08-25,,66.135,73.2892,124.02,61.09473568148239
2022-09-23,,73.2892,73.1241,51.49,68.0222106464571
2022-10-24,,73.1241,75.7654,101.62,67.84429456778942
2022-11-22,,75.7654,73.385,96.09,70.6831673155001
2022-12-21,,73.385,66.7316,57.06,67.62508832362961
2023-01-19,,66.7316,67.4487,79.39,60.33987723171722
2023-02-17,,67.4487,62.7252,57.68,61.13200043732174
2023-03-20,,62.7252,58.663,51.69,56.09163992268818
2023-04-18,,58.663,58.6365,64.13,51.50892081160802
2023-05-17,,58.6365,55.4672,94.79,51.47873819769193
2023-06-15,,55.4672,54.7604,34.13,48.18688799571962
2023-07-14,,54.7604,59.1998,46.23,47.37158755026084
2023-08-14,,59.1998,49.792,39.15,52.44027287221176
2023-09-12,,49.792,54.3413,38.19,41.55420727046067
2023-10-11,,54.3413,56.3592,56.96,46.90933556944082
2023-11-09,,56.3592,49.6751,53.18,49.23279702105504
2023-12-08,,49.6751,50.0395,39.32,43.510696010913655
2024-01-08,,50.0395,53.6282,44.59,43.92626398402369
2024-02-06,,53.6282,58.5851,52.39,47.97446135793645
2024-03-06,,58.5851,53.4737,36.05,53.45819908446352
2024-04-04,,53.4737,54.9978,45.93,47.62497414445524
2024-05-03,,54.9978,52.2396,101.58,49.33010820391568
2024-06-03,,52.2396,56.1417,43.94,46.100237898418655
2024-07-02,,56.1417,60.3895,42.11,50.47917001121151
2024-07-31,,60.3895,58.1033,47.68,55.16473362920186
