,return,iv,ive,rv,realiv
2022-02-01,,44.0312,50.0632,57.38,42.07840773289068
2022-03-02,,50.0632,54.3345,67.86,48.28513436039502
2022-03-31,,54.3345,60.1261,49.96,52.70074094556356
2022-04-29,,60.1261,56.5224,77.37,58.65388399050313
2022-05-30,,56.5224,57.4592,61.21,54.77748839160152
2022-06-28,,57.4592,54.4681,45.06,55.74362023919903
2022-07-27,,54.4681,50.7443,38.58,52.65515597111112
2022-08-25,,50.7443,54.9005,56.7,48.93261636361802
2022-09-23,,54.9005,54.4613,60.26,53.2304599073596
2022-10-24,,54.4613,50.0543,54.16,52.77736408147926
2022-11-22,,50.0543,45.9224,30.68,48.20086977914061
2022-12-21,,45.9224,42.6993,37.05,43.89484845327149
2023-01-19,,42.6993,40.4983,22.8,40.51075313377512
2023-02-17,,40.4983,43.7512,45.57,38.18380811110477
2023-03-20,,43.7512,41.272,38.65,41.880065741383866
2023-04-18,,41.272,42.2382,48.62,39.28295290660613
2023-05-17,,42.2382,40.404,38.2,40.74648878912909
2023-06-15,,40.404,39.492,34.93,38.84191068166733
2023-07-14,,39.492,39.1236,26.94,37.89233264662684
2023-08-14,,39.1236,36.6834,29.85,37.57009439207258
2023-09-12,,36.6834,39.7683,42.64,35.02181821706639
2023-10-11,,39.7683,38.1035,35.21,38.2409937182501
2023-11-09,,38.1035,36.9539,31.07,36.74479501948032
2023-12-08,,36.9539,36.3893,35.31,35.55128653063945
2024-01-08,,36.3893,36.6335,25.45,34.9640444351569
2024-02-06,,36.6335,35.121,31.46,35.218128442942934
2024-03-06,,35.121,35.4208,25.99,33.56505449224623
2024-04-04,,35.4208,33.667,32.88,33.87862622225787
2024-05-03,,33.667,32.9858,28.39,31.95538258602966
2024-06-03,,32.9858,33.662,30.44,31.236878667042383
2024-07-02,,33.662,35.2735,29.16,31.95011472936408
2024-07-31,,35.2735,33.6468,32.18,33.64371248048479
