,return,iv,ive,rv,realiv
2022-03-02,,55.5441,46.6755,60.28,53.72919091884799
2022-03-31,,46.6755,54.7145,59.84,43.610281366164216
2022-04-29,,54.7145,49.6836,73.57,52.12418681222768
2022-05-30,,49.6836,53.586,68.01,46.64849768329541
2022-06-28,,53.586,50.0248,55.09,50.78465932886049
2022-07-27,,50.0248,51.0295,55.45,47.01173089972775
2022-08-25,,51.0295,54.7163,52.44,48.07943528576867
2022-09-23,,54.7163,58.9454,64.69,51.726935475354814
2022-10-24,,58.9454,56.0723,79.45,56.18151430089368
2022-11-22,,56.0723,53.9351,50.71,53.15924374247174
2022-12-21,,53.9351,49.1821,46.51,50.87376821271455
2023-01-19,,49.1821,49.6775,59.13,45.804194573870696
2023-02-17,,49.6775,51.7919,56.48,46.335723652501706
2023-03-20,,51.7919,46.328,41.09,49.28291937011806
2023-04-18,,46.328,45.9813,41.16,43.50504361601718
2023-05-17,,45.9813,47.278,110.03,43.135660256005785
2023-06-15,,47.278,43.3214,36.77,44.54277845728669
2023-07-14,,43.3214,46.9145,36.81,40.31864986150855
2023-08-14,,46.9145,41.0043,46.66,44.1567677592566
2023-09-12,,41.0043,42.677,26.37,37.80787994454503
2023-10-11,,42.677,44.0667,34.33,39.61577332845
2023-11-09,,44.0667,39.2778,43.34,41.10908921760649
2023-12-08,,39.2778,41.6693,46.87,35.87103893281834
2024-01-08,,41.6693,43.0409,41.16,38.47488042567213
2024-02-06,,43.0409,50.8856,52.78,39.95628779165764
2024-03-06,,50.8856,48.0635,61.78,48.30455618924336
2024-04-04,,48.0635,46.3862,43.2,44.229523763153104
2024-05-03,,46.3862,43.0095,50.32,42.400828889366366
2024-06-03,,43.0095,44.2803,37.34,38.82886930719275
2024-07-02,,44.2803,46.8647,57.66,40.23193966881357
2024-07-31,,46.8647,47.4653,65.18,43.06000589311449
