,return,iv,ive,rv,realiv
2022-04-29,,32.5657,30.3117,38.05,30.46205313856262
2022-05-30,,30.3117,30.932,36.28,28.039454734652256
2022-06-28,,30.932,27.9042,34.55,28.708892157772524
2022-07-27,,27.9042,27.9518,22.93,25.58850921426058
2022-08-25,,27.9518,32.367,30.47,25.64040852654845
2022-09-23,,32.367,33.2695,36.96,30.39325772549396
2022-10-24,,33.2695,30.3144,49.82,31.35262439443146
2022-11-22,,30.3144,31.1753,31.67,27.887810254861726
2022-12-21,,31.1753,29.0335,28.86,28.82128455744419
2023-01-19,,29.0335,28.3586,34.9,26.489832685412924
2023-02-17,,28.3586,29.1747,27.88,26.246300356698043
2023-03-20,,29.1747,26.2092,22.71,27.12602456210655
2023-04-18,,26.2092,24.6979,30.29,23.907744625832187
2023-05-17,,24.6979,24.7057,25.42,22.950446990641872
2023-06-15,,24.7057,24.9808,22.6,22.95884067522275
2023-07-14,,24.9808,26.2411,27.49,23.25461505379658
2023-08-14,,26.2411,25.2059,17.23,24.52508591951657
2023-09-12,,25.2059,25.8714,22.19,23.414138996761555
2023-10-11,,25.8714,24.5146,23.69,24.129107901239745
2023-11-09,,24.5146,23.916,18.92,22.63138388955381
2023-12-08,,23.916,23.6726,14.25,21.981559990054286
2024-01-08,,23.6726,22.1141,19.04,21.71648945746885
2024-02-06,,22.1141,24.1711,19.7,20.139905029707627
2024-03-06,,24.1711,24.3702,18.13,22.37910701984426
2024-04-04,,24.3702,22.872,24.05,22.59400371416369
2024-05-03,,22.872,22.9392,18.56,20.568138225223223
2024-06-03,,22.9392,22.7615,15.62,20.642839501674395
2024-07-02,,22.7615,23.7866,22.77,20.44519034643329
2024-07-31,,23.7866,24.0616,19.3,21.61023692707692
