,return,iv,ive,rv,realiv
2022-04-29,,35.9022,33.3749,31.67,35.52270553125192
2022-05-30,,33.3749,34.267,32.59,32.96632514293996
2022-06-28,,34.267,30.614,28.11,33.86918854091482
2022-07-27,,30.614,29.257,20.79,30.049013503331143
2022-08-25,,29.257,33.9617,24.93,28.66527979147208
2022-09-23,,33.9617,32.9054,58.11,33.45330003771493
2022-10-24,,32.9054,28.5547,23.4,32.26059019669546
2022-11-22,,28.5547,30.9567,37.91,27.80919313409009
2022-12-21,,30.9567,27.6689,26.92,30.270408083954266
2023-01-19,,27.6689,24.9338,14.46,26.898854211455244
2023-02-17,,24.9338,41.7829,37.5,23.951288567488863
2023-03-20,,41.7829,34.1176,48.39,41.20413297247162
2023-04-18,,34.1176,41.117,43.18,32.733630041667304
2023-05-17,,41.117,35.5523,40.93,39.97608778938659
2023-06-15,,35.5523,34.3158,31.46,34.22639246597199
2023-07-14,,34.3158,32.2587,23.39,32.940158402544824
2023-08-14,,32.2587,29.8746,28.76,30.72200798080157
2023-09-12,,29.8746,32.3244,23.85,28.20832809371083
2023-10-11,,32.3244,34.0187,38.91,30.790987058592897
2023-11-09,,34.0187,29.6856,29.66,32.38069917326563
2023-12-08,,29.6856,29.0604,36.44,27.79339088019893
2024-01-08,,29.0604,31.8511,30.57,27.1246120233917
2024-02-06,,31.8511,31.6584,25.53,30.403116041753584
2024-03-06,,31.6584,29.5828,21.92,30.201178526645847
2024-04-04,,29.5828,27.9662,27.97,28.01783270844364
2024-05-03,,27.9662,27.6546,20.22,26.70391660609402
2024-06-03,,27.6546,25.9301,20.85,26.377409289489066
2024-07-02,,25.9301,26.8026,24.85,24.563405824014385
2024-07-31,,26.8026,25.4824,21.71,25.55919960745597
