,return,iv,ive,rv,realiv
2022-05-30,,16.551,22.046,25.85,14.936577534581014
2022-06-28,,22.046,21.3599,18.98,20.861252681623657
2022-07-27,,21.3599,21.0083,14.61,20.1348224590273
2022-08-25,,21.0083,26.8661,29.56,19.761437608042343
2022-09-23,,26.8661,28.407,42.67,25.90276195035097
2022-10-24,,28.407,24.167,31.29,27.497698020862583
2022-11-22,,24.167,22.1975,17.43,23.19507626231946
2022-12-21,,22.1975,21.3488,20.18,21.135200024244288
2023-01-19,,21.3488,19.2513,16.1,20.242009170406376
2023-02-17,,19.2513,22.1829,23.67,18.016110165760416
2023-03-20,,22.1829,18.9314,19.82,21.11986567724368
2023-04-18,,18.9314,19.3306,13.7,17.673867142615272
2023-05-17,,19.3306,19.903,20.36,18.10082236183803
2023-06-15,,19.903,19.2349,18.29,19.014679482705656
2023-07-14,,19.2349,18.7297,18.51,18.314202271462097
2023-08-14,,18.7297,17.5683,16.74,17.78286503688389
2023-09-12,,17.5683,21.3365,23.14,16.555174167613806
2023-10-11,,21.3365,21.5126,15.4,20.510359798892548
2023-11-09,,21.5126,21.0265,18.06,20.693491382316985
2023-12-08,,21.0265,18.5971,17.79,20.30043445524261
2024-01-08,,18.5971,24.3742,15.77,17.772058553572272
2024-02-06,,24.3742,19.7287,17.84,23.750696041623733
2024-03-06,,19.7287,19.248,12.42,18.95298236456736
2024-04-04,,19.248,16.5055,19.45,18.452084999305672
2024-05-03,,16.5055,34.14,56.67,15.570018210381177
2024-06-03,,34.14,20.0437,21.05,33.94224012286284
2024-07-02,,20.0437,17.0592,21.61,19.70497333791853
2024-07-31,,17.0592,21.2089,21.34,16.6599030368751
