,return,iv,ive,rv,realiv
2022-03-31,,29.1249,36.5876,43.55,25.08080098564543
2022-04-29,,36.5876,36.1026,46.99,33.45802223430956
2022-05-30,,36.1026,36.6441,49.85,32.92695711467357
2022-06-28,,36.6441,34.1128,42.03,33.23047701470721
2022-07-27,,34.1128,34.4473,29.9,30.416404482696244
2022-08-25,,34.4473,40.2033,38.44,30.79108661780198
2022-09-23,,40.2033,39.4555,57.41,37.11845725114373
2022-10-24,,39.4555,37.7905,50.34,36.08555633280874
2022-11-22,,37.7905,33.9154,48.98,34.257156709924324
2022-12-21,,33.9154,31.6611,45.99,29.99923864165373
2023-01-19,,31.6611,30.6028,19.51,27.42490136953806
2023-02-17,,30.6028,33.6214,18.47,26.19601744080368
2023-03-20,,33.6214,28.2304,29.42,29.6664541170476
2023-04-18,,28.2304,30.6884,21.66,23.31865258203865
2023-05-17,,30.6884,30.7467,34.09,26.24084542543967
2023-06-15,,30.7467,26.796,29.64,26.309002926219343
2023-07-14,,26.796,28.2407,16.93,22.16814401661788
2023-08-14,,28.2407,27.2272,20.64,23.894311658457774
2023-09-12,,27.2272,26.8841,26.93,22.68747260012695
2023-10-11,,26.8841,28.0137,30.79,22.7342896185254
2023-11-09,,28.0137,27.4073,21.05,24.059519515962734
2023-12-08,,27.4073,25.8547,47.67,23.35065705583018
2024-01-08,,25.8547,26.8317,23.85,21.72993976184637
2024-02-06,,26.8317,29.2517,23.12,22.8837255457557
2024-03-06,,29.2517,26.5596,30.06,25.678526493034443
2024-04-04,,26.5596,28.4276,21.87,22.355073707037675
2024-05-03,,28.4276,28.3573,17.2,24.54517080908355
2024-06-03,,28.3573,28.9215,79.37,24.46371663458125
2024-07-02,,28.9215,32.3181,26.27,24.42864912523454
2024-07-31,,32.3181,31.1807,31.83,28.368385985879108
