,return,iv,ive,rv,realiv
2022-03-02,,55.1693,53.1353,63.42,49.10442502729849
2022-03-31,,53.1353,57.6632,67.58,46.12504404278614
2022-04-29,,57.6632,60.538,68.94,51.27576636286348
2022-05-30,,60.538,55.8004,55.94,54.488613726713226
2022-06-28,,55.8004,53.6372,54.7,49.89925320596477
2022-07-27,,53.6372,53.3438,37.58,47.467884450362696
2022-08-25,,53.3438,51.9961,48.84,47.13609899846385
2022-09-23,,51.9961,53.7489,50.38,45.30717956937148
2022-10-24,,53.7489,54.2748,64.93,47.30845967193682
2022-11-22,,54.2748,52.2715,83.58,47.905114762009205
2022-12-21,,52.2715,48.3944,44.04,46.39757547582975
2023-01-19,,48.3944,46.6987,33.34,41.98146316108239
2023-02-17,,46.6987,47.2313,25.64,40.01492071059642
2023-03-20,,47.2313,40.3866,43.67,40.635218683739325
2023-04-18,,40.3866,39.2914,22.71,34.47624645173198
2023-05-17,,39.2914,40.6036,51.86,33.186566917964896
2023-06-15,,40.6036,38.4957,32.55,34.81602848153317
2023-07-14,,38.4957,38.8285,21.43,32.33299282090863
2023-08-14,,38.8285,36.5032,35.01,32.728518428381825
2023-09-12,,36.5032,39.6875,30.09,30.578188931824982
2023-10-11,,39.6875,38.9426,23.11,34.31675515488584
2023-11-09,,38.9426,37.839,29.89,33.45247558657481
2023-12-08,,37.839,36.9053,43.7,33.638667798776126
2024-01-08,,36.9053,36.0168,27.42,32.58483110845317
2024-02-06,,36.0168,38.6204,27.82,31.574989034304004
2024-03-06,,38.6204,37.4411,44.15,34.51529148705567
2024-04-04,,37.4411,36.2359,27.49,33.701172403766435
2024-05-03,,36.2359,36.2673,29.92,32.35696989812842
2024-06-03,,36.2673,34.7589,51.99,32.3921302397417
2024-07-02,,34.7589,34.8192,22.78,31.42204018586185
2024-07-31,,34.8192,34.4804,51.71,31.4887308234536
