,return,iv,ive,rv,realiv
2022-04-29,,46.5105,44.182,41.93,44.67271146379994
2022-05-30,,44.182,47.5378,59.86,42.24303094331564
2022-06-28,,47.5378,44.3538,30.77,45.74130483619725
2022-07-27,,44.3538,42.209,35.76,42.42268395231403
2022-08-25,,42.209,47.8988,49.61,40.19861536292072
2022-09-23,,47.8988,47.9378,41.01,46.13701374748962
2022-10-24,,47.9378,41.8075,51.35,46.17750171821821
2022-11-22,,41.8075,40.6377,29.93,39.685619283236896
2022-12-21,,40.6377,37.993,25.72,38.4513196513985
2023-01-19,,37.993,32.4316,34.79,35.644766385039254
2023-02-17,,32.4316,40.7755,38.29,30.16573502141607
2023-03-20,,40.7755,36.3732,22.85,38.997490830466106
2023-04-18,,36.3732,34.9098,27.95,34.36819123931732
2023-05-17,,34.9098,34.0149,43.98,33.05117434706905
2023-06-15,,34.0149,31.9325,38.61,32.10450765376033
2023-07-14,,31.9325,32.2844,27.13,29.889304875328826
2023-08-14,,32.2844,32.5462,45.23,30.56077548003883
2023-09-12,,32.5462,35.1346,28.33,30.837212082504195
2023-10-11,,35.1346,36.6315,41.21,33.557691096697084
2023-11-09,,36.6315,34.3394,33.23,35.02048278405508
2023-12-08,,34.3394,32.7993,33.67,32.61536163433265
2024-01-08,,32.7993,30.9662,36.03,30.98969994479292
2024-02-06,,30.9662,33.4345,26.25,29.06629249018725
2024-03-06,,33.4345,32.2753,22.4,31.682954517139272
2024-04-04,,32.2753,30.4473,22.89,30.457163472246
2024-05-03,,30.4473,29.2397,25.72,28.599465528351303
2024-06-03,,29.2397,30.2558,24.06,27.310280249520595
2024-07-02,,30.2558,30.5385,35.25,28.395506420160125
2024-07-31,,30.5385,32.1759,30.79,28.455618720834156
