,return,iv,ive,rv
2022-01-19,,79.6709,79.531,75.55
2022-02-17,,79.531,77.2717,89.74
2022-03-18,,77.2717,72.6113,68.33
2022-04-18,,72.6113,78.2816,90.06
2022-05-17,,78.2816,86.2695,91.37
2022-06-15,,86.2695,74.5545,66.15
2022-07-14,,74.5545,73.9341,75.16
2022-08-12,,73.9341,73.3056,84.68
2022-09-12,,73.3056,77.2541,70.58
2022-10-11,,77.2541,72.219,111.06
2022-11-09,,72.219,77.8804,119.73
2022-12-08,,77.8804,74.3399,62.21
2023-01-06,,74.3399,72.4453,72.66
2023-02-06,,72.4453,73.282,115.98
2023-03-07,,73.282,77.5189,177.16
2023-04-05,,77.5189,73.1634,65.53
2023-05-04,,73.1634,67.6912,50.39
2023-06-02,,67.6912,68.5122,66.85
2023-07-03,,68.5122,66.4799,52.24
2023-08-01,,66.4799,64.0766,74.45
2023-08-30,,64.0766,69.8558,36.2
2023-09-28,,69.8558,71.687,40.05
2023-10-27,,71.687,62.296,87.64
2023-11-27,,62.296,64.401,50.36
2023-12-26,,64.401,65.6452,76.67
2024-01-24,,65.6452,68.1622,95.62
2024-02-22,,68.1622,65.4736,60.47
2024-03-22,,65.4736,67.5988,53.16
2024-04-22,,67.5988,63.8905,55.76
2024-05-21,,63.8905,66.2818,53.94
2024-06-19,,66.2818,67.2687,58.63
2024-07-18,,67.2687,62.9291,61.3
