,return,iv,ive,rv,realiv
2022-02-01,,35.1969,34.9408,48.0,34.22599587540225
2022-03-02,,34.9408,35.8772,37.32,33.8931812411172
2022-03-31,,35.8772,39.2404,30.04,34.857735294238765
2022-04-29,,39.2404,34.1079,32.5,38.31053669897119
2022-05-30,,34.1079,39.1735,43.32,32.94778211959787
2022-06-28,,39.1735,37.6309,36.05,38.16766440903206
2022-07-27,,37.6309,34.1488,26.86,36.58267539424218
2022-08-25,,34.1488,35.8924,38.62,33.18970453136983
2022-09-23,,35.8924,36.0879,34.19,34.981142394147604
2022-10-24,,36.0879,33.6814,22.85,35.18170649427953
2022-11-22,,33.6814,31.6629,22.54,32.815628123329454
2022-12-21,,31.6629,25.9128,20.38,30.74033148127475
2023-01-19,,25.9128,23.663,20.51,24.77704475938669
2023-02-17,,23.663,29.3646,25.51,22.657118326840838
2023-03-20,,29.3646,25.2183,29.56,28.56023765721264
2023-04-18,,25.2183,24.8213,32.92,24.27694578744342
2023-05-17,,24.8213,23.2049,26.11,24.254510695286555
2023-06-15,,23.2049,20.7743,19.78,22.59760472677956
2023-07-14,,20.7743,17.678,15.28,20.09367800746717
2023-08-14,,17.678,18.0086,16.76,16.88632947956047
2023-09-12,,18.0086,19.6468,23.25,17.23212445557056
2023-10-11,,19.6468,19.4264,19.1,18.93761308962333
2023-11-09,,19.4264,20.1578,16.66,18.78523196289257
2023-12-08,,20.1578,19.3051,14.32,19.54064542894325
2024-01-08,,19.3051,17.127,18.02,18.65976443982294
2024-02-06,,17.127,15.1545,16.22,16.39615967047408
2024-03-06,,15.1545,21.0444,16.52,14.641754590473234
2024-04-04,,21.0444,18.747,23.61,20.67822232682597
2024-05-03,,18.747,18.0446,18.18,18.334997034023324
2024-06-03,,18.0446,18.5305,19.88,17.55293943199423
2024-07-02,,18.5305,19.3389,22.32,18.05207810179365
2024-07-31,,19.3389,17.8133,25.67,18.880973141055463
