,return,iv,ive,rv
2022-01-19,,68.6654,75.8007,92.12
2022-02-17,,75.8007,78.1785,110.81
2022-03-18,,78.1785,71.9706,102.26
2022-04-18,,71.9706,86.1098,135.41
2022-05-17,,86.1098,81.3829,120.22
2022-06-15,,81.3829,80.9881,66.36
2022-07-14,,80.9881,75.9896,103.9
2022-08-12,,75.9896,71.8582,87.18
2022-09-12,,71.8582,73.5554,74.96
2022-10-11,,73.5554,69.9532,69.82
2022-11-09,,69.9532,72.5425,92.63
2022-12-08,,72.5425,66.8679,52.69
2023-01-06,,66.8679,63.2505,51.64
2023-02-06,,63.2505,59.5454,35.23
2023-03-07,,59.5454,60.7507,54.48
2023-04-05,,60.7507,58.9556,52.24
2023-05-04,,58.9556,53.9627,70.35
2023-06-02,,53.9627,48.7074,37.71
2023-07-03,,48.7074,52.7818,60.62
2023-08-01,,52.7818,51.9355,47.01
2023-08-30,,51.9355,51.23,35.53
2023-09-28,,51.23,57.1604,48.43
2023-10-27,,57.1604,46.338,48.31
2023-11-27,,46.338,45.2893,41.39
2023-12-26,,45.2893,46.7761,36.44
2024-01-24,,46.7761,45.7265,31.58
2024-02-22,,45.7265,43.0563,32.83
2024-03-22,,43.0563,42.05,32.54
2024-04-22,,42.05,39.6269,30.06
2024-05-21,,39.6269,36.5255,31.74
2024-06-19,,36.5255,37.0295,34.91
2024-07-18,,37.0295,38.1142,41.19
