,return,iv,ive,rv,realiv
2022-03-31,,24.1649,27.3935,28.95,23.28413107568948
2022-04-29,,27.3935,27.5583,33.23,26.619771039396426
2022-05-30,,27.5583,28.068,31.3,26.78933121281471
2022-06-28,,28.068,24.8706,28.55,27.313384849554776
2022-07-27,,24.8706,24.9698,19.86,23.80270433675666
2022-08-25,,24.9698,29.6284,29.47,23.906336010000658
2022-09-23,,29.6284,29.5539,28.0,28.737850927706027
2022-10-24,,29.5539,26.9637,28.69,28.29331534722993
2022-11-22,,26.9637,26.8127,27.08,25.57576598692201
2022-12-21,,26.8127,23.4206,23.58,25.416521583761163
2023-01-19,,23.4206,22.9325,23.52,21.619088074910422
2023-02-17,,22.9325,25.7575,19.76,21.08933429676561
2023-03-20,,25.7575,23.147,30.13,24.13108516168997
2023-04-18,,23.147,23.8404,23.82,21.13086490098076
2023-05-17,,23.8404,21.6553,20.93,21.888227763423437
2023-06-15,,21.6553,19.9408,22.42,19.485426876347887
2023-07-14,,19.9408,21.4939,15.04,17.783550870404163
2023-08-14,,21.4939,20.2976,11.78,19.50914949787029
2023-09-12,,20.2976,20.6814,21.54,18.182731991652208
2023-10-11,,20.6814,22.0435,24.55,19.13603083097139
2023-11-09,,22.0435,20.5677,13.39,20.60056461007532
2023-12-08,,20.5677,19.0832,28.06,19.01309162902992
2024-01-08,,19.0832,19.4425,12.82,17.658115232015128
2024-02-06,,19.4425,20.6257,12.25,18.04581163475682
2024-03-06,,20.6257,19.363,14.46,19.31476149987684
2024-04-04,,19.363,20.1367,19.94,17.676563504885753
2024-05-03,,20.1367,20.1344,18.16,18.520848123999585
2024-06-03,,20.1344,19.1588,25.86,18.51834743442997
2024-07-02,,19.1588,21.3165,19.49,17.35112994624922
2024-07-31,,21.3165,20.7167,15.41,19.707746325281
