,return,iv,ive,rv,realiv
2022-02-01,,39.7134,48.6985,35.05,38.386872740412656
2022-03-02,,48.6985,48.6519,44.92,47.77176633114309
2022-03-31,,48.6519,47.9757,33.43,47.72426143752605
2022-04-29,,47.9757,50.2647,52.88,47.03472702841313
2022-05-30,,50.2647,53.3341,46.43,49.184845388404334
2022-06-28,,53.3341,51.7852,40.92,52.31763729949241
2022-07-27,,51.7852,56.1091,45.42,50.737716630049874
2022-08-25,,56.1091,54.2599,50.85,55.57405139503357
2022-09-23,,54.2599,61.2301,69.99,53.706431957986496
2022-10-24,,61.2301,48.5548,57.78,60.74017806738661
2022-11-22,,48.5548,51.7436,64.62,48.01145987871634
2022-12-21,,51.7436,54.3484,57.78,51.23408843344038
2023-01-19,,54.3484,53.4175,33.08,53.863533668016885
2023-02-17,,53.4175,50.3638,39.96,52.924105877148165
2023-03-20,,50.3638,37.0396,36.93,49.68732349902968
2023-04-18,,37.0396,39.2746,47.02,36.11439787975464
2023-05-17,,39.2746,36.8772,34.83,38.60819174527445
2023-06-15,,36.8772,36.9304,36.21,36.16664408705732
2023-07-14,,36.9304,35.0999,36.9,36.2208877422942
2023-08-14,,35.0999,34.185,35.53,33.6916421621842
2023-09-12,,34.185,35.8032,32.06,32.737409741374904
2023-10-11,,35.8032,36.4406,32.05,34.4237258560817
2023-11-09,,36.4406,34.2983,26.14,35.08619529009477
2023-12-08,,34.2983,35.2141,28.46,32.9375099853623
2024-01-08,,35.2141,35.6186,27.69,33.890102094208
2024-02-06,,35.6186,35.8315,27.77,34.31021490905939
2024-03-06,,35.8315,34.1033,48.87,34.53118262376545
2024-04-04,,34.1033,25.8765,28.2,33.00812346442568
2024-05-03,,25.8765,29.6289,31.88,24.415044460388955
2024-06-03,,29.6289,31.2651,24.68,28.12411460870001
2024-07-02,,31.2651,29.5131,16.03,29.84293191566964
2024-07-31,,29.5131,29.2338,39.86,28.002092402591877
