,return,iv,ive,rv,realiv
2022-04-29,,28.469,28.6059,30.57,28.230373597734467
2022-05-30,,28.6059,29.4002,32.85,28.36842518148766
2022-06-28,,29.4002,25.871,23.75,29.169192524094036
2022-07-27,,25.871,24.8866,17.84,25.723491875386213
2022-08-25,,24.8866,27.6481,26.15,24.733221642621903
2022-09-23,,27.6481,29.3032,32.09,27.510122262052207
2022-10-24,,29.3032,25.2123,18.41,29.17305132314857
2022-11-22,,25.2123,25.4621,19.39,25.02613592607084
2022-12-21,,25.4621,23.3892,17.23,25.277775703375752
2023-01-19,,23.3892,23.4925,35.47,23.188404100760653
2023-02-17,,23.4925,27.5987,26.86,23.345796534073383
2023-03-20,,27.5987,24.645,24.64,27.47393130315268
2023-04-18,,24.645,25.6762,22.48,24.505197092868947
2023-05-17,,25.6762,23.7939,26.81,25.360241275696257
2023-06-15,,23.7939,22.9479,19.79,23.452596195976422
2023-07-14,,22.9479,23.8855,18.91,22.59382007389472
2023-08-14,,23.8855,24.0743,18.51,23.39713107416006
2023-09-12,,24.0743,26.5935,22.83,23.5898400321288
2023-10-11,,26.5935,26.3428,23.51,26.15574266774749
2023-11-09,,26.3428,23.215,17.62,25.79155214461884
2023-12-08,,23.215,22.5743,17.0,22.587546905066795
2024-01-08,,22.5743,21.7106,20.43,21.928521853480973
2024-02-06,,21.7106,23.3461,16.23,20.89577498685398
2024-03-06,,23.3461,24.4425,17.64,22.590344068898823
2024-04-04,,24.4425,23.2116,30.24,23.72170032251551
2024-05-03,,23.2116,24.4612,22.11,22.194986053172517
2024-06-03,,24.4612,24.7315,20.14,23.498709257755465
2024-07-02,,24.7315,25.8642,46.67,23.7799521360015
2024-07-31,,25.8642,24.8184,19.53,24.46786182585509
