,return,iv,ive,rv,realiv
2022-02-01,,28.5166,31.9514,32.14,27.958486242424414
2022-03-02,,31.9514,28.9467,32.1,31.378680214131027
2022-03-31,,28.9467,34.406,30.23,28.313266341252437
2022-04-29,,34.406,30.0046,33.64,33.87480547576175
2022-05-30,,30.0046,32.5621,40.07,29.351964234729785
2022-06-28,,32.5621,29.5219,25.73,31.96172929750292
2022-07-27,,29.5219,28.4522,26.43,28.858349968195625
2022-08-25,,28.4522,34.4132,35.69,27.64949687803621
2022-09-23,,34.4132,34.3937,36.69,33.75256030301308
2022-10-24,,34.3937,30.2538,32.3,33.732678406235905
2022-11-22,,30.2538,29.31,22.61,29.394844080619013
2022-12-21,,29.31,27.1301,24.17,28.42253584893337
2023-01-19,,27.1301,25.6517,26.07,26.16881292863516
2023-02-17,,25.6517,30.2081,35.74,24.62315290840332
2023-03-20,,30.2081,27.4178,31.39,29.33972140069859
2023-04-18,,27.4178,27.4965,27.68,26.45799884913088
2023-05-17,,27.4965,25.7623,32.33,26.556429469670505
2023-06-15,,25.7623,24.4311,18.27,24.75646451368983
2023-07-14,,24.4311,26.2743,23.39,23.368035457384604
2023-08-14,,26.2743,25.9532,18.35,25.263255201788
2023-09-12,,25.9532,27.9003,24.51,24.929135828196458
2023-10-11,,27.9003,27.4654,41.78,26.950323986747694
2023-11-09,,27.4654,25.0556,15.18,26.543038394497277
2023-12-08,,25.0556,24.4187,17.96,24.04096049270404
2024-01-08,,24.4187,23.3067,31.26,23.37643257089833
2024-02-06,,23.3067,24.2811,12.84,22.155640925237154
2024-03-06,,24.2811,25.8281,16.38,23.178480906393403
2024-04-04,,25.8281,24.737,17.32,24.79437253749414
2024-05-03,,24.737,23.6076,24.78,23.169100935565726
2024-06-03,,23.6076,24.2786,26.79,21.959208704378053
2024-07-02,,24.2786,25.8221,31.16,22.679031882389356
2024-07-31,,25.8221,24.6812,44.11,24.324245467689902
