,return,iv,ive,rv,realiv
2022-02-01,,28.9886,32.1459,36.5,28.718989522843263
2022-03-02,,32.1459,27.8684,31.45,31.83295965488476
2022-03-31,,27.8684,33.918,25.91,27.506838279590056
2022-04-29,,33.918,30.8533,29.86,33.621557929095445
2022-05-30,,30.8533,31.6073,35.06,30.38003271138153
2022-06-28,,31.6073,29.7309,24.64,31.145492128791474
2022-07-27,,29.7309,28.6751,23.73,29.239471292494528
2022-08-25,,28.6751,32.6193,28.11,28.003242329550467
2022-09-23,,32.6193,32.4516,36.23,32.0302818196707
2022-10-24,,32.4516,28.5267,30.4,31.859481532465765
2022-11-22,,28.5267,28.6197,22.23,27.74303297193983
2022-12-21,,28.6197,27.0583,22.59,27.838651075117493
2023-01-19,,27.0583,24.0553,16.54,26.2307999207447
2023-02-17,,24.0553,37.2267,45.26,23.16988744755069
2023-03-20,,37.2267,27.6285,27.17,36.66078857760928
2023-04-18,,27.6285,29.1898,31.55,26.861128764297437
2023-05-17,,29.1898,25.0192,29.09,28.499786520415388
2023-06-15,,25.0192,23.3877,19.79,24.210612885865796
2023-07-14,,23.3877,23.7506,17.03,22.52061098103803
2023-08-14,,23.7506,22.4439,15.68,22.94488004064417
2023-09-12,,22.4439,24.6688,18.08,21.589468889473668
2023-10-11,,24.6688,25.1252,24.86,23.894062299231404
2023-11-09,,25.1252,21.6772,15.82,24.475522515783783
2023-12-08,,21.6772,21.2927,16.67,20.92072004546303
2024-01-08,,21.2927,21.3545,14.17,20.522051570704104
2024-02-06,,21.3545,21.6763,26.85,20.586165199731564
2024-03-06,,21.6763,22.4509,11.81,20.85746462577724
2024-04-04,,22.4509,21.0272,17.21,21.66136560181626
2024-05-03,,21.0272,20.1274,18.42,20.294000531778355
2024-06-03,,20.1274,20.804,15.17,19.36015362810482
2024-07-02,,20.804,22.1566,16.41,20.06264523296517
2024-07-31,,22.1566,21.6932,43.71,21.46201857477111
