,return,iv,ive,rv,realiv
2022-02-01,,34.0417,35.6826,29.36,33.49616648804175
2022-03-02,,35.6826,33.5848,40.15,35.16253365820801
2022-03-31,,33.5848,37.3573,36.6,33.03172144385774
2022-04-29,,37.3573,36.3406,43.23,36.86086941181138
2022-05-30,,36.3406,43.3314,58.06,35.770430036921994
2022-06-28,,43.3314,40.399,41.48,42.854342634397405
2022-07-27,,40.399,37.8581,27.3,39.88688578551014
2022-08-25,,37.8581,43.5877,44.63,37.29607755670361
2022-09-23,,43.5877,41.7318,46.65,43.100455412856725
2022-10-24,,41.7318,38.1541,30.95,41.22262481630265
2022-11-22,,38.1541,35.8707,27.53,37.5054136736683
2022-12-21,,35.8707,32.6885,29.26,35.17993499870324
2023-01-19,,32.6885,32.3444,40.15,31.92896397118117
2023-02-17,,32.3444,36.1432,39.18,31.61808039001684
2023-03-20,,36.1432,32.1483,33.81,35.494699638531486
2023-04-18,,32.1483,33.0567,27.53,31.417447208192574
2023-05-17,,33.0567,30.3599,29.73,32.41650936015845
2023-06-15,,30.3599,27.088,25.78,29.661560852680037
2023-07-14,,27.088,27.8299,22.25,26.302935353439945
2023-08-14,,27.8299,25.7302,19.37,27.15217696217099
2023-09-12,,25.7302,29.5944,26.85,24.995611051043525
2023-10-11,,29.5944,28.0325,21.62,28.958002195162727
2023-11-09,,28.0325,26.5707,28.09,27.45566140163226
2023-12-08,,26.5707,26.0633,16.15,25.96140183505273
2024-01-08,,26.0633,25.9703,24.79,25.441853188026208
2024-02-06,,25.9703,26.7941,19.67,25.341005850899165
2024-03-06,,26.7941,28.346,25.6,26.18461170717079
2024-04-04,,28.346,27.2912,31.34,27.770592565613462
2024-05-03,,27.2912,26.6242,20.76,26.72577776660949
2024-06-03,,26.6242,26.5863,15.32,26.044301208329586
2024-07-02,,26.5863,26.7391,28.14,26.005556088655325
2024-07-31,,26.7391,26.0058,30.15,26.127623234771992
