,return,iv,ive,rv,realiv
2022-04-29,,41.7436,39.2553,48.13,39.06588273386585
2022-05-30,,39.2553,42.1223,48.04,36.3949671095628
2022-06-28,,42.1223,41.6965,42.02,39.47028262004414
2022-07-27,,41.6965,37.9035,35.17,39.01555029813315
2022-08-25,,37.9035,42.7827,37.93,35.12153835325401
2022-09-23,,42.7827,43.9247,42.63,40.33864850660086
2022-10-24,,43.9247,38.7777,57.41,41.54788098253739
2022-11-22,,38.7777,40.5734,41.26,35.54904337719674
2022-12-21,,40.5734,36.6605,37.6,37.49967006926615
2023-01-19,,36.6605,34.5241,38.51,33.22674717744449
2023-02-17,,34.5241,36.5616,28.78,31.70571723112128
2023-03-20,,36.5616,33.6457,23.58,33.912971248326514
2023-04-18,,33.6457,32.6992,32.0,30.74690476811968
2023-05-17,,32.6992,31.8037,36.6,29.95754105949034
2023-06-15,,31.8037,30.6482,29.46,28.97743810934724
2023-07-14,,30.6482,31.7328,39.29,27.704309212305755
2023-08-14,,31.7328,32.0853,34.81,29.20363957631329
2023-09-12,,32.0853,32.7645,17.05,29.58628812056713
2023-10-11,,32.7645,30.0087,31.2,30.32151758921725
2023-11-09,,30.0087,28.6535,20.93,27.698584946312383
2023-12-08,,28.6535,29.0891,23.66,26.224274910625898
2024-01-08,,29.0891,27.5881,32.75,26.69953690886946
2024-02-06,,27.5881,31.6966,30.06,25.1016939342344
2024-03-06,,31.6966,32.9754,30.61,29.55784546136575
2024-04-04,,32.9754,30.3215,41.3,30.92521272227533
2024-05-03,,30.3215,32.9391,25.67,28.00734418758307
2024-06-03,,32.9391,35.6819,38.05,30.82210692022437
2024-07-02,,35.6819,39.1557,61.7,33.737456243791456
2024-07-31,,39.1557,38.8212,49.91,37.392336229256166
