,return,iv,ive,rv,realiv
2022-02-01,,42.1398,40.7159,57.13,40.93814557704697
2022-03-02,,40.7159,39.4694,45.91,38.9199859410578
2022-03-31,,39.4694,45.3956,40.83,37.61401772214898
2022-04-29,,45.3956,41.8898,57.22,43.79202315721594
2022-05-30,,41.8898,43.227,48.74,39.86470718624444
2022-06-28,,43.227,41.2663,39.94,41.26757884835271
2022-07-27,,41.2663,40.2906,41.28,39.20901746658552
2022-08-25,,40.2906,45.7821,44.2,37.97073879645127
2022-09-23,,45.7821,46.6107,40.93,43.75437391619642
2022-10-24,,46.6107,41.1537,61.36,44.62064444714274
2022-11-22,,41.1537,42.0461,36.9,38.70816641102227
2022-12-21,,42.0461,38.4333,29.51,39.65563829297661
2023-01-19,,38.4333,36.7345,50.48,35.80242550587031
2023-02-17,,36.7345,39.6677,30.68,34.31611564701726
2023-03-20,,39.6677,36.3969,26.83,37.43926716883576
2023-04-18,,36.3969,34.8908,23.05,33.954478827681385
2023-05-17,,34.8908,33.4283,31.19,32.77143308033868
2023-06-15,,33.4283,32.0314,32.9,31.2097763912066
2023-07-14,,32.0314,32.4378,22.7,29.70874429286968
2023-08-14,,32.4378,32.5402,37.6,30.108953448877138
2023-09-12,,32.5402,33.7052,16.87,30.219245936764374
2023-10-11,,33.7052,31.8489,23.17,31.470283061749704
2023-11-09,,31.8489,31.0909,31.59,29.658627424858725
2023-12-08,,31.0909,31.73,33.61,28.84312417763689
2024-01-08,,31.73,30.2894,35.66,29.530910069223776
2024-02-06,,30.2894,32.7975,32.54,27.969769795642847
2024-03-06,,32.7975,34.163,26.91,30.66816388881563
2024-04-04,,34.163,33.809,64.5,32.124302935024986
2024-05-03,,33.809,32.4291,17.29,31.692671928990364
2024-06-03,,32.4291,33.2489,30.58,30.21627872205004
2024-07-02,,33.2489,34.7929,36.61,31.094474174821062
2024-07-31,,34.7929,34.3646,48.99,32.70825120283232
