,return,iv,ive,rv,realiv
2022-04-29,,35.8722,34.7625,38.57,35.077804159513924
2022-05-30,,34.7625,34.5806,38.62,33.94214221382046
2022-06-28,,34.5806,32.4119,28.01,33.755821841175965
2022-07-27,,32.4119,30.1613,23.49,31.530443596993887
2022-08-25,,30.1613,32.5559,24.09,29.41732891067022
2022-09-23,,32.5559,33.8705,39.28,31.86788112439473
2022-10-24,,33.8705,31.0103,33.97,33.20972738217756
2022-11-22,,31.0103,30.4503,24.67,30.24036133821715
2022-12-21,,30.4503,28.4198,20.68,29.665830813680884
2023-01-19,,28.4198,25.7375,26.28,27.57763187469037
2023-02-17,,25.7375,38.6844,48.33,25.184375719624608
2023-03-20,,38.6844,32.2705,33.76,38.31862050618755
2023-04-18,,32.2705,33.5231,30.55,31.83110184060893
2023-05-17,,33.5231,29.7665,29.34,33.15431961603282
2023-06-15,,29.7665,24.8818,18.62,29.35055702779862
2023-07-14,,24.8818,25.8787,18.98,24.38267103563633
2023-08-14,,25.8787,24.2725,17.4,25.365140790486624
2023-09-12,,24.2725,26.9436,23.54,23.72419671730127
2023-10-11,,26.9436,27.0704,34.31,26.450724651532862
2023-11-09,,27.0704,24.2945,20.18,26.51968996450401
2023-12-08,,24.2945,24.1229,21.41,23.679318611468
2024-01-08,,24.1229,24.1029,18.11,23.503227524393647
2024-02-06,,24.1029,23.3837,17.76,23.42660337888126
2024-03-06,,23.3837,23.2585,15.62,22.68597326877141
2024-04-04,,23.2585,22.6191,22.42,22.556900933226864
2024-05-03,,22.6191,21.9553,15.11,21.954637054666325
2024-06-03,,21.9553,22.691,18.63,21.27011051880379
2024-07-02,,22.691,23.9897,33.24,22.028705917328136
2024-07-31,,23.9897,23.8359,23.12,22.993482955204023
