,return,iv,ive,rv,realiv
2022-04-29,,39.3039,35.7942,41.78,39.21585854916541
2022-05-30,,35.7942,39.1278,42.98,35.57441564098632
2022-06-28,,39.1278,39.4596,40.12,38.926841991069
2022-07-27,,39.4596,38.0238,33.72,39.26012855035659
2022-08-25,,38.0238,43.5229,42.5,37.81675591679599
2022-09-23,,43.5229,41.8764,40.39,43.34213291983361
2022-10-24,,41.8764,38.9117,61.45,41.68849407918837
2022-11-22,,38.9117,36.7973,27.65,38.54621112934367
2022-12-21,,36.7973,36.2852,34.14,36.41059300297013
2023-01-19,,36.2852,33.9834,24.29,35.89297611759072
2023-02-17,,33.9834,38.1929,48.06,33.51091146756478
2023-03-20,,38.1929,34.0657,30.27,37.77310315868905
2023-04-18,,34.0657,36.4913,48.22,33.594368997154334
2023-05-17,,36.4913,34.5688,31.05,36.27235577230605
2023-06-15,,34.5688,31.091,34.57,34.33759966891605
2023-07-14,,31.091,33.9674,29.07,30.833733127578693
2023-08-14,,33.9674,32.4871,28.9,33.757160771185305
2023-09-12,,32.4871,35.4152,25.87,32.26721721781493
2023-10-11,,35.4152,32.9839,26.35,35.21360577407052
2023-11-09,,32.9839,31.607,43.15,32.77805724369318
2023-12-08,,31.607,31.3664,35.66,31.39213000834488
2024-01-08,,31.3664,29.5762,29.71,31.14987040776939
2024-02-06,,29.5762,32.2976,30.39,29.3854699842752
2024-03-06,,32.2976,34.9661,48.43,32.12303232132263
2024-04-04,,34.9661,35.7771,32.66,34.80491903404946
2024-05-03,,35.7771,40.2476,43.91,35.455006169288325
2024-06-03,,40.2476,37.6781,32.05,39.961555072522806
2024-07-02,,37.6781,37.1562,37.43,37.37239352335188
2024-07-31,,37.1562,36.0305,37.25,36.660224505285946
