,return,iv,ive,rv
2022-01-19,,53.6029,56.6244,49.2
2022-02-17,,56.6244,52.3493,73.11
2022-03-18,,52.3493,49.3874,47.72
2022-04-18,,49.3874,60.8555,75.57
2022-05-17,,60.8555,63.2738,64.99
2022-06-15,,63.2738,59.6805,53.38
2022-07-14,,59.6805,52.5936,63.75
2022-08-12,,52.5936,56.2526,49.1
2022-09-12,,56.2526,62.1655,49.39
2022-10-11,,62.1655,60.3375,62.95
2022-11-09,,60.3375,58.3792,47.81
2022-12-08,,58.3792,56.2363,43.88
2023-01-06,,56.2363,48.6819,50.08
2023-02-06,,48.6819,45.7839,33.09
2023-03-07,,45.7839,46.9519,32.03
2023-04-05,,46.9519,44.9964,58.59
2023-05-04,,44.9964,40.2626,67.28
2023-06-02,,40.2626,37.8511,27.9
2023-07-03,,37.8511,39.8516,18.3
2023-08-01,,39.8516,38.9004,38.48
2023-08-30,,38.9004,43.2064,31.4
2023-09-28,,43.2064,48.0681,35.84
2023-10-27,,48.0681,37.8019,43.62
2023-11-27,,37.8019,38.9941,44.0
2023-12-26,,38.9941,39.2007,37.26
2024-01-24,,39.2007,40.2565,89.71
2024-02-22,,40.2565,43.6467,33.24
2024-03-22,,43.6467,44.9888,32.65
2024-04-22,,44.9888,40.2726,30.46
2024-05-21,,40.2726,43.7936,37.86
2024-06-19,,43.7936,44.7684,28.06
2024-07-18,,44.7684,41.5764,73.35
