,return,iv,ive,rv
2022-01-19,,38.1374,40.5684,38.18
2022-02-17,,40.5684,39.7525,44.01
2022-03-18,,39.7525,39.008,35.39
2022-04-18,,39.008,41.3103,40.31
2022-05-17,,41.3103,48.7401,54.51
2022-06-15,,48.7401,42.6007,47.53
2022-07-14,,42.6007,40.2192,41.3
2022-08-12,,40.2192,40.7578,40.3
2022-09-12,,40.7578,49.6641,50.5
2022-10-11,,49.6641,43.9451,41.06
2022-11-09,,43.9451,42.1049,41.75
2022-12-08,,42.1049,40.0008,27.76
2023-01-06,,40.0008,34.1572,34.62
2023-02-06,,34.1572,35.8288,43.38
2023-03-07,,35.8288,35.3939,20.55
2023-04-05,,35.3939,36.6954,29.74
2023-05-04,,36.6954,35.3021,36.8
2023-06-02,,35.3021,32.5312,38.12
2023-07-03,,32.5312,31.8567,19.67
2023-08-01,,31.8567,32.7484,29.55
2023-08-30,,32.7484,32.4478,25.65
2023-09-28,,32.4478,35.9869,25.26
2023-10-27,,35.9869,29.6811,32.71
2023-11-27,,29.6811,29.3077,25.11
2023-12-26,,29.3077,29.1251,19.37
2024-01-24,,29.1251,30.7316,29.8
2024-02-22,,30.7316,29.8191,20.59
2024-03-22,,29.8191,31.7444,20.61
2024-04-22,,31.7444,28.5194,22.38
2024-05-21,,28.5194,29.6638,21.96
2024-06-19,,29.6638,30.112,24.79
2024-07-18,,30.112,27.0145,35.26
