,return,iv,ive,rv,realiv
2022-03-02,,24.9234,21.8727,18.64,23.624066319266483
2022-03-31,,21.8727,23.2156,20.56,20.37978525861107
2022-04-29,,23.2156,26.5853,44.75,21.814782264719053
2022-05-30,,26.5853,24.4409,26.32,25.37122026996536
2022-06-28,,24.4409,23.5863,18.86,22.81256484203616
2022-07-27,,23.5863,22.8392,17.89,21.89449861385513
2022-08-25,,22.8392,24.711,16.26,21.057776666752083
2022-09-23,,24.711,25.7084,21.94,23.074540569788347
2022-10-24,,25.7084,22.0599,16.38,24.139650620230785
2022-11-22,,22.0599,20.5323,12.47,20.337377845141635
2022-12-21,,20.5323,20.8955,18.3,18.66936241268185
2023-01-19,,20.8955,20.3123,16.09,19.06807986809521
2023-02-17,,20.3123,20.0021,17.74,18.42713436473664
2023-03-20,,20.0021,19.1698,14.56,18.37703007054178
2023-04-18,,19.1698,19.189,13.08,17.467468673038947
2023-05-17,,19.189,17.7552,19.73,17.48853769769208
2023-06-15,,17.7552,17.6534,18.26,16.329440398889798
2023-07-14,,17.6534,18.752,14.6,16.218693790219184
2023-08-14,,18.752,19.8636,30.52,17.408072860052435
2023-09-12,,19.8636,24.3837,19.56,18.873792836678604
2023-10-11,,24.3837,25.4919,19.39,23.58436509155717
2023-11-09,,25.4919,23.0607,22.8,24.72841314544588
2023-12-08,,23.0607,22.5704,21.69,21.995307773122004
2024-01-08,,22.5704,22.3763,22.67,21.48070379909283
2024-02-06,,22.3763,23.9214,21.34,21.27666518123461
2024-03-06,,23.9214,24.0947,21.08,22.70663802812371
2024-04-04,,24.0947,24.5048,25.23,22.88913717618543
2024-05-03,,24.5048,25.3351,18.96,23.320447157381736
2024-06-03,,25.3351,23.0607,26.99,24.1914308090744
2024-07-02,,23.0607,23.4906,22.47,21.758970593585413
2024-07-31,,23.4906,22.5599,23.76,22.21407673441583
