,return,iv,ive,rv,realiv
2022-04-29,,46.6404,44.1125,49.75,41.17664726223899
2022-05-30,,44.1125,45.0673,52.52,38.2897117232404
2022-06-28,,45.0673,43.3289,36.03,39.38592257252397
2022-07-27,,43.3289,40.5046,30.93,37.33919045769947
2022-08-25,,40.5046,44.3367,36.84,34.02123145899272
2022-09-23,,44.3367,48.9785,45.56,38.504084662751765
2022-10-24,,48.9785,40.4799,54.45,43.76888199481859
2022-11-22,,40.4799,40.5667,32.79,33.837140684134496
2022-12-21,,40.5667,38.585,26.79,33.940933024268936
2023-01-19,,38.585,36.8819,40.3,31.54571303153425
2023-02-17,,36.8819,38.9534,26.99,30.372460355461005
2023-03-20,,38.9534,36.482,24.82,32.8569501322635
2023-04-18,,36.482,33.5522,30.34,29.88558388979627
2023-05-17,,33.5522,33.8629,26.64,27.35057905786216
2023-06-15,,33.8629,34.4543,24.29,27.730850083803208
2023-07-14,,34.4543,32.52,41.1,28.450005948160516
2023-08-14,,32.52,33.5259,26.3,27.05671909940441
2023-09-12,,33.5259,35.5858,23.14,28.257770953033
2023-10-11,,35.5858,32.8044,31.25,30.673519688227422
2023-11-09,,32.8044,31.2818,26.19,27.97589535435832
2023-12-08,,31.2818,32.1758,23.92,26.173900602661565
2024-01-08,,32.1758,30.2688,45.2,27.23608208164323
2024-02-06,,30.2688,31.6992,20.54,25.53690783741826
2024-03-06,,31.6992,33.2061,21.2,27.217139620040797
2024-04-04,,33.2061,29.1669,41.96,28.9582196563738
2024-05-03,,29.1669,30.1109,18.82,24.643596041231525
2024-06-03,,30.1109,30.9038,23.5,25.753933079112446
2024-07-02,,30.9038,29.9908,24.17,26.676649427418774
2024-07-31,,29.9908,30.6875,39.66,25.24183080960328
