,return,iv,ive,rv,realiv
2022-04-29,,48.4221,44.8656,64.59,47.840489715265896
2022-05-30,,44.8656,49.8696,61.84,44.237255239746304
2022-06-28,,49.8696,48.0821,45.51,49.3050676091866
2022-07-27,,48.0821,46.5295,44.88,47.42696489010523
2022-08-25,,46.5295,50.659,51.62,45.85218673659169
2022-09-23,,50.659,49.096,60.4,50.03761524370716
2022-10-24,,49.096,45.4194,31.25,48.437465533556335
2022-11-22,,45.4194,43.0474,42.73,44.70674163562424
2022-12-21,,43.0474,39.2568,34.77,42.294792800940144
2023-01-19,,39.2568,38.0221,37.79,38.43002989270836
2023-02-17,,38.0221,41.5916,46.94,37.131670581178405
2023-03-20,,41.5916,38.2262,43.25,40.7791866311621
2023-04-18,,38.2262,40.1047,40.08,37.34063789196898
2023-05-17,,40.1047,36.1164,33.59,39.50988804036735
2023-06-15,,36.1164,34.1358,36.4,35.45474072437088
2023-07-14,,34.1358,33.2271,18.21,33.43496870811102
2023-08-14,,33.2271,31.5373,22.16,32.70082538852239
2023-09-12,,31.5373,34.8027,33.78,30.982335256894867
2023-10-11,,34.8027,34.7271,29.47,34.300608361523715
2023-11-09,,34.7271,31.7968,20.28,34.19841587581689
2023-12-08,,31.7968,31.344,28.23,31.21853078293924
2024-01-08,,31.344,29.8754,37.98,30.75721882754234
2024-02-06,,29.8754,29.8326,16.5,29.349124939241
2024-03-06,,29.8326,28.8777,17.41,29.305556338332465
2024-04-04,,28.8777,27.5682,22.58,28.33289901914695
2024-05-03,,27.5682,26.9206,21.87,26.983633348924837
2024-06-03,,26.9206,27.4187,29.2,26.32165499791395
2024-07-02,,27.4187,28.4084,23.98,26.830876377025188
2024-07-31,,28.4084,29.2071,30.21,27.76748774043395
