,return,iv,ive,rv
2022-01-31,,29.105,31.9439,22.91
2022-03-01,,31.9439,33.6048,24.17
2022-03-30,,33.6048,30.8376,19.73
2022-04-28,,30.8376,31.3535,28.55
2022-05-27,,31.3535,31.5773,25.56
2022-06-27,,31.5773,32.2015,24.66
2022-07-26,,32.2015,30.9907,31.16
2022-08-24,,30.9907,32.6624,28.65
2022-09-22,,32.6624,36.1472,44.64
2022-10-21,,36.1472,32.5835,34.12
2022-11-21,,32.5835,31.8901,36.63
2022-12-20,,31.8901,30.8417,28.51
2023-01-18,,30.8417,28.5214,23.35
2023-02-16,,28.5214,32.2872,33.35
2023-03-17,,32.2872,31.0419,25.52
2023-04-17,,31.0419,30.0699,22.09
2023-05-16,,30.0699,27.4507,22.19
2023-06-14,,27.4507,26.8456,28.44
2023-07-13,,26.8456,24.3707,22.4
2023-08-11,,24.3707,24.2413,22.1
2023-09-11,,24.2413,26.8053,23.88
2023-10-10,,26.8053,25.9688,21.3
2023-11-08,,25.9688,25.8073,25.65
2023-12-07,,25.8073,25.4769,24.64
2024-01-05,,25.4769,23.0294,19.41
2024-02-05,,23.0294,23.1961,23.9
2024-03-05,,23.1961,28.2474,28.04
2024-04-03,,28.2474,27.2005,29.11
2024-05-02,,27.2005,30.2582,41.09
2024-05-31,,30.2582,27.4192,39.62
2024-07-01,,27.4192,28.3132,28.18
2024-07-30,,28.3132,30.0076,30.67
