,return,iv,ive,rv,realiv
2022-04-29,,70.7508,69.3569,88.99,66.99420972149201
2022-05-30,,69.3569,68.8767,75.65,65.52043965952346
2022-06-28,,68.8767,69.7543,70.8,65.01190843574165
2022-07-27,,69.7543,63.8601,52.08,65.94096453690419
2022-08-25,,63.8601,68.9637,58.33,60.11141800442241
2022-09-23,,68.9637,68.5443,61.92,65.50772565264649
2022-10-24,,68.5443,63.6646,58.59,65.06605309208788
2022-11-22,,63.6646,60.7072,44.82,60.42453250289378
2022-12-21,,60.7072,56.3007,55.66,57.30014805280408
2023-01-19,,56.3007,55.621,42.19,52.60904537741839
2023-02-17,,55.621,57.7067,57.68,51.88100303611397
2023-03-20,,57.7067,52.2743,50.03,54.61307290711644
2023-04-18,,52.2743,54.3123,50.72,48.8377614961826
2023-05-17,,54.3123,51.2355,47.14,51.77777495642393
2023-06-15,,51.2355,47.3343,48.99,48.540586197511885
2023-07-14,,47.3343,44.1671,33.37,44.40324317702572
2023-08-14,,44.1671,40.0552,26.7,41.52759947007864
2023-09-12,,40.0552,45.0106,41.19,37.12449113964091
2023-10-11,,45.0106,41.7721,36.99,42.42361261959283
2023-11-09,,41.7721,41.8317,30.85,39.077030898773245
2023-12-08,,41.8317,42.181,32.45,39.14073492339763
2024-01-08,,42.181,39.3937,27.96,39.51383006560714
2024-02-06,,39.3937,36.6736,33.67,36.52354863842886
2024-03-06,,36.6736,36.2603,21.65,34.587991200396374
2024-04-04,,36.2603,35.5107,31.86,34.14945906465719
2024-05-03,,35.5107,34.3838,34.32,33.627153903721364
2024-06-03,,34.3838,34.4055,51.93,32.43487887467075
2024-07-02,,34.4055,36.1978,28.52,32.45788186904012
2024-07-31,,36.1978,35.6307,57.97,34.35194885322466
