,return,iv,ive,rv
2022-01-19,,59.0934,60.6101,196.96
2022-02-17,,60.6101,66.6882,84.97
2022-03-18,,66.6882,66.3088,54.1
2022-04-18,,66.3088,72.5626,86.47
2022-05-17,,72.5626,86.1464,216.08
2022-06-15,,86.1464,80.6222,77.65
2022-07-14,,80.6222,74.6553,180.73
2022-08-12,,74.6553,75.3502,79.09
2022-09-12,,75.3502,84.4783,60.76
2022-10-11,,84.4783,80.7689,141.65
2022-11-09,,80.7689,78.9044,78.48
2022-12-08,,78.9044,81.4848,45.1
2023-01-06,,81.4848,69.2448,76.22
2023-02-06,,69.2448,67.1467,66.28
2023-03-07,,67.1467,70.1846,57.48
2023-04-05,,70.1846,66.547,81.29
2023-05-04,,66.547,64.3359,45.75
2023-06-02,,64.3359,59.7827,32.33
2023-07-03,,59.7827,59.8687,70.96
2023-08-01,,59.8687,58.1361,34.69
2023-08-30,,58.1361,63.2341,42.72
2023-09-28,,63.2341,60.2554,53.8
2023-10-27,,60.2554,52.9691,40.22
2023-11-27,,52.9691,60.2796,39.95
2023-12-26,,60.2796,61.1492,41.85
2024-01-24,,61.1492,64.0099,154.51
2024-02-22,,64.0099,65.8335,40.62
2024-03-22,,65.8335,69.6083,45.41
2024-04-22,,69.6083,62.2651,94.75
2024-05-21,,62.2651,61.1155,35.4
2024-06-19,,61.1155,64.6233,50.17
2024-07-18,,64.6233,58.9874,120.13
