,return,iv,ive,rv,realiv
2022-03-02,,36.5259,33.5841,47.99,34.7780583002481
2022-03-31,,33.5841,41.5452,42.58,31.674338842909663
2022-04-29,,41.5452,38.5888,59.23,40.01719144774475
2022-05-30,,38.5888,38.5659,44.2,36.678424704963774
2022-06-28,,38.5659,35.1704,32.73,36.65433120666229
2022-07-27,,35.1704,33.1462,20.79,33.06309709566993
2022-08-25,,33.1462,37.3938,29.37,30.87347108602781
2022-09-23,,37.3938,37.6715,43.16,35.39487139261556
2022-10-24,,37.6715,34.8452,43.33,35.688129044680885
2022-11-22,,34.8452,34.5526,39.2,32.69080307211487
2022-12-21,,34.5526,32.1353,21.12,32.47973820891732
2023-01-19,,32.1353,31.3991,34.6,29.895296175984008
2023-02-17,,31.3991,33.0798,24.05,29.462892781558324
2023-03-20,,33.0798,28.831,17.73,31.247907742560965
2023-04-18,,28.831,27.8499,14.83,26.709270511333727
2023-05-17,,27.8499,27.5857,49.76,25.64713434786822
2023-06-15,,27.5857,26.8112,21.22,25.88947483654629
2023-07-14,,26.8112,28.5086,18.27,25.062611760591988
2023-08-14,,28.5086,27.154,22.76,26.870696618847894
2023-09-12,,27.154,29.307,28.53,25.21279565054809
2023-10-11,,29.307,30.4416,21.25,27.51809581922951
2023-11-09,,30.4416,26.7239,21.75,28.723446155994186
2023-12-08,,26.7239,29.4764,34.54,24.89454260984123
2024-01-08,,29.4764,30.952,35.34,27.82857483780297
2024-02-06,,30.952,33.6535,39.65,29.38703327223081
2024-03-06,,33.6535,35.4207,28.68,31.90071916734013
2024-04-04,,35.4207,34.2004,25.25,33.7597957581722
2024-05-03,,34.2004,30.0664,23.26,32.47714860180158
2024-06-03,,30.0664,31.972,26.47,28.04550309642609
2024-07-02,,31.972,34.8827,47.75,30.079405229685733
2024-07-31,,34.8827,34.1406,42.29,33.15666741790624
