,return,iv,ive,rv,realiv
2022-04-29,,61.2042,57.2547,77.88,56.33372746325811
2022-05-30,,57.2547,60.2191,70.26,52.01572285717696
2022-06-28,,60.2191,55.4935,73.39,55.261874353614175
2022-07-27,,55.4935,52.5899,38.61,50.07058312537053
2022-08-25,,52.5899,57.8862,48.25,47.1753045041226
2022-09-23,,57.8862,61.2779,55.12,53.01531781935
2022-10-24,,61.2779,56.4939,77.67,56.69914286350976
2022-11-22,,56.4939,56.3552,51.7,50.64067679588091
2022-12-21,,56.3552,51.5872,35.81,50.48589878545169
2023-01-19,,51.5872,47.5977,55.96,45.10162539171812
2023-02-17,,47.5977,47.8497,29.09,41.75620177529436
2023-03-20,,47.8497,43.9165,23.73,42.043229318156506
2023-04-18,,43.9165,40.5554,32.86,37.50597703912131
2023-05-17,,40.5554,40.4689,26.92,35.637580381408505
2023-06-15,,40.4689,40.805,31.74,35.5391127279699
2023-07-14,,40.805,40.8883,67.04,35.9213681710671
2023-08-14,,40.8883,40.3908,34.12,36.48701458254453
2023-09-12,,40.3908,45.3717,27.61,35.92862202891752
2023-10-11,,45.3717,40.7904,50.33,41.44924989848208
2023-11-09,,40.7904,40.3266,32.78,36.44877171038408
2023-12-08,,40.3266,40.181,19.43,35.92897012990624
2024-01-08,,40.181,36.586,27.78,35.76547200912766
2024-02-06,,36.586,41.1784,30.24,31.673200391430207
2024-03-06,,41.1784,43.6953,36.85,37.01932022735921
2024-04-04,,43.6953,39.3947,57.94,39.800109115752015
2024-05-03,,39.3947,40.929,32.01,34.573628727283875
2024-06-03,,40.929,42.3605,33.12,36.31220808876911
2024-07-02,,42.3605,39.2145,46.25,37.91840417966016
2024-07-31,,39.2145,39.3677,24.44,34.034498633846454
