,return,iv,ive,rv,realiv
2022-02-01,,33.8226,32.337,22.95,31.998032359008075
2022-03-02,,32.337,31.4125,29.7,30.038010145271603
2022-03-31,,31.4125,34.8701,42.07,29.040413921592776
2022-04-29,,34.8701,31.8551,24.43,32.638159700333816
2022-05-30,,31.8551,34.516,38.04,29.395118482913016
2022-06-28,,34.516,31.9253,20.05,32.25956990746303
2022-07-27,,31.9253,28.2455,36.19,29.471178712506465
2022-08-25,,28.2455,35.752,31.42,25.455631078488125
2022-09-23,,35.752,36.0925,30.28,33.59146301300512
2022-10-24,,36.0925,29.2142,46.35,33.95363661824887
2022-11-22,,29.2142,31.0295,24.49,26.45389930552724
2022-12-21,,31.0295,29.1657,24.55,28.44589912583137
2023-01-19,,29.1657,27.7047,16.14,26.400328848652137
2023-02-17,,27.7047,35.5584,50.04,24.776797793842817
2023-03-20,,35.5584,29.5474,24.92,33.605960328098945
2023-04-18,,29.5474,30.9389,35.38,27.166332210546205
2023-05-17,,30.9389,29.4111,23.13,28.751715810981693
2023-06-15,,29.4111,27.5734,24.83,27.10089356599621
2023-07-14,,27.5734,25.5409,42.73,25.09458141562546
2023-08-14,,25.5409,26.1922,20.73,24.05061249608408
2023-09-12,,26.1922,31.9761,29.33,24.74117477943995
2023-10-11,,31.9761,30.7283,32.34,30.798788285203614
2023-11-09,,30.7283,31.639,27.28,29.221566611664443
2023-12-08,,31.639,31.8011,21.73,30.17777088106313
2024-01-08,,31.8011,31.1818,23.9,30.34767693844032
2024-02-06,,31.1818,29.8705,40.04,29.698083870679973
2024-03-06,,29.8705,29.7503,15.43,28.25535911294008
2024-04-04,,29.7503,28.1906,32.49,28.12825800580629
2024-05-03,,28.1906,9.8926,73.77,26.58461282348584
2024-06-03,,9.8926,11.2878,47.7,3.1456708942049025
2024-07-02,,11.2878,10.9805,4.56,6.280616168390478
2024-07-31,,10.9805,10.8101,4.31,0.0
