,return,iv,ive,rv,realiv
2022-02-01,,22.5006,22.1624,24.08,22.39236825539865
2022-03-02,,22.1624,20.7566,16.91,21.945323694771783
2022-03-31,,20.7566,24.4537,19.27,20.52466082224775
2022-04-29,,24.4537,23.5833,23.34,24.25713713524973
2022-05-30,,23.5833,24.9712,29.63,23.387982043229066
2022-06-28,,24.9712,24.4272,23.32,24.786820986250035
2022-07-27,,24.4272,22.8809,15.56,24.238683235778407
2022-08-25,,22.8809,27.5008,25.56,22.51046722313512
2022-09-23,,27.5008,27.9535,35.34,27.193373281625814
2022-10-24,,27.9535,24.2629,25.96,27.651106886413075
2022-11-22,,24.2629,24.9203,21.77,23.90526335125537
2022-12-21,,24.9203,22.1613,19.9,24.57223334523896
2023-01-19,,22.1613,21.2049,19.45,21.76916436551649
2023-02-17,,21.2049,23.7917,22.7,20.794736918097165
2023-03-20,,23.7917,20.8729,20.42,23.4671783573076
2023-04-18,,20.8729,22.043,20.0,20.502229770775813
2023-05-17,,22.043,20.3915,11.9,21.647529457485494
2023-06-15,,20.3915,19.2878,15.0,19.96334027317829
2023-07-14,,19.2878,19.7412,17.06,18.83456693031996
2023-08-14,,19.7412,20.2189,14.32,19.28854414904861
2023-09-12,,20.2189,22.2755,24.45,19.777180667622915
2023-10-11,,22.2755,21.9924,19.2,21.875348184652918
2023-11-09,,21.9924,19.1828,19.67,21.62281913557433
2023-12-08,,19.1828,18.8325,19.76,18.757944062443507
2024-01-08,,18.8325,19.691,17.26,18.399557219122407
2024-02-06,,19.691,19.3357,15.34,19.27734760307443
2024-03-06,,19.3357,20.0339,17.14,18.80012095517958
2024-04-04,,20.0339,19.8552,20.68,19.517489660542477
2024-05-03,,19.8552,18.3659,20.53,19.33401718421141
2024-06-03,,18.3659,18.173,12.93,17.840922260334267
2024-07-02,,18.173,18.143,14.96,17.642283108750146
2024-07-31,,18.143,17.5666,18.52,17.611379085389387
