,return,iv,ive,rv
2022-01-19,,82.7389,87.4716,82.56
2022-02-17,,87.4716,88.4613,154.15
2022-03-18,,88.4613,78.405,145.84
2022-04-18,,78.405,89.7201,107.25
2022-05-17,,89.7201,88.9762,105.99
2022-06-15,,88.9762,88.2364,78.34
2022-07-14,,88.2364,80.895,78.05
2022-08-12,,80.895,79.8526,108.56
2022-09-12,,79.8526,81.6957,82.67
2022-10-11,,81.6957,81.0059,81.04
2022-11-09,,81.0059,77.3643,88.99
2022-12-08,,77.3643,76.0012,61.46
2023-01-06,,76.0012,68.0658,50.17
2023-02-06,,68.0658,68.013,45.7
2023-03-07,,68.013,63.5967,57.16
2023-04-05,,63.5967,64.2393,60.6
2023-05-04,,64.2393,59.2727,55.65
2023-06-02,,59.2727,56.4921,42.03
2023-07-03,,56.4921,57.2499,55.56
2023-08-01,,57.2499,54.7416,51.18
2023-08-30,,54.7416,56.763,34.55
2023-09-28,,56.763,60.3855,37.77
2023-10-27,,60.3855,46.8275,60.63
2023-11-27,,46.8275,49.4972,35.12
2023-12-26,,49.4972,52.3411,33.82
2024-01-24,,52.3411,56.2665,38.64
2024-02-22,,56.2665,50.2813,37.66
2024-03-22,,50.2813,49.6946,39.49
2024-04-22,,49.6946,43.1066,43.97
2024-05-21,,43.1066,47.9184,33.44
2024-06-19,,47.9184,46.5958,34.99
2024-07-18,,46.5958,43.9446,40.24
