,return,iv,ive,rv,realiv
2022-04-29,,40.1813,39.7856,48.53,37.87880118607044
2022-05-30,,39.7856,40.1818,43.89,37.4587863786836
2022-06-28,,40.1818,36.4689,44.1,37.87933157863073
2022-07-27,,36.4689,36.8064,37.01,34.083214749385455
2022-08-25,,36.8064,43.8886,44.26,34.444098789237124
2022-09-23,,43.8886,46.215,42.5,41.927247350651655
2022-10-24,,46.215,42.1347,56.65,44.35663519072121
2022-11-22,,42.1347,43.3315,33.29,39.721028289593605
2022-12-21,,43.3315,39.2713,31.45,40.98836464830837
2023-01-19,,39.2713,36.0893,50.8,36.669635231110426
2023-02-17,,36.0893,39.6475,29.66,33.40971931685479
2023-03-20,,39.6475,37.5307,30.15,37.22493823488523
2023-04-18,,37.5307,36.2601,45.52,34.96176787336447
2023-05-17,,36.2601,35.5066,32.75,33.73103375509112
2023-06-15,,35.5066,34.4109,20.42,32.91969668355248
2023-07-14,,34.4109,34.2017,37.34,31.734804631304986
2023-08-14,,34.2017,36.1967,53.61,31.17039644144344
2023-09-12,,36.1967,35.6702,22.19,33.34724010044533
2023-10-11,,35.6702,34.3332,29.86,32.77499808492366
2023-11-09,,34.3332,32.4039,21.21,31.496015564103928
2023-12-08,,32.4039,33.3571,28.37,29.380999121613904
2024-01-08,,33.3571,31.6983,26.83,30.42904031651799
2024-02-06,,31.6983,36.311,31.71,28.73934659343613
2024-03-06,,36.311,37.4424,36.83,33.7587994562551
2024-04-04,,37.4424,33.6956,23.36,34.97286287234217
2024-05-03,,33.6956,33.9256,31.74,30.696083272678163
2024-06-03,,33.9256,34.5339,28.57,30.948382902555544
2024-07-02,,34.5339,33.514,36.87,31.614020910557905
2024-07-31,,33.514,33.8892,34.87,30.753579737480724
