,return,iv,ive,rv,realiv
2022-04-29,,35.0491,35.3479,43.72,33.764940189361475
2022-05-30,,35.3479,39.4389,46.87,34.075002708600884
2022-06-28,,39.4389,36.9531,28.55,38.30220109068351
2022-07-27,,36.9531,36.2387,72.28,35.737422609795985
2022-08-25,,36.2387,41.7207,34.9,35.005576951377726
2022-09-23,,41.7207,43.1243,41.63,40.65419841171177
2022-10-24,,43.1243,40.2597,58.59,42.09337585058755
2022-11-22,,40.2597,39.1641,33.46,38.64577641184574
2022-12-21,,39.1641,35.7525,36.91,37.5030574646171
2023-01-19,,35.7525,33.5608,42.88,33.92482640536827
2023-02-17,,33.5608,38.253,33.58,31.344534837957102
2023-03-20,,38.253,34.4776,33.92,36.32415968151096
2023-04-18,,34.4776,34.5577,36.06,32.32425512410003
2023-05-17,,34.5577,33.0099,45.95,32.58155511462601
2023-06-15,,33.0099,31.6027,30.53,30.93503842582732
2023-07-14,,31.6027,31.2474,24.31,29.428791203299756
2023-08-14,,31.2474,30.4209,23.15,28.92479418004768
2023-09-12,,30.4209,33.1639,27.6,28.02989240807249
2023-10-11,,33.1639,31.7717,37.06,30.98528642449703
2023-11-09,,31.7717,30.5511,30.46,29.77026184762821
2023-12-08,,30.5511,30.277,31.63,28.463964600813217
2024-01-08,,30.277,28.9793,25.01,28.16956333680641
2024-02-06,,28.9793,29.605,23.66,26.8114314093729
2024-03-06,,29.605,30.9843,29.4,27.486524893654853
2024-04-04,,30.9843,27.6426,34.88,28.96687543073136
2024-05-03,,27.6426,27.6435,24.25,25.401694314955115
2024-06-03,,27.6435,29.3309,30.37,25.402673708891804
2024-07-02,,29.3309,31.2961,50.43,27.22929367648788
2024-07-31,,31.2961,30.4665,31.83,29.16506978168922
