,return,iv,ive,rv,realiv
2022-03-02,,28.1629,26.7267,44.5,26.550689671459843
2022-03-31,,26.7267,30.636,22.72,25.0221237809696
2022-04-29,,30.636,30.6125,43.54,29.160841579422296
2022-05-30,,30.6125,30.9432,32.35,29.198453409714467
2022-06-28,,30.9432,28.4645,16.37,29.54498521761801
2022-07-27,,28.4645,25.2713,26.6,26.93793395045853
2022-08-25,,25.2713,30.2442,28.45,23.510848078985635
2022-09-23,,30.2442,31.4614,30.49,28.789460004368657
2022-10-24,,31.4614,25.6826,22.06,30.06561264406802
2022-11-22,,25.6826,25.7594,22.04,23.925572673195592
2022-12-21,,25.7594,24.5215,19.28,24.00799394660794
2023-01-19,,24.5215,21.972,15.61,22.67467854745384
2023-02-17,,21.972,25.6657,19.07,20.45087676204797
2023-03-20,,25.6657,21.8104,24.56,24.3761714144464
2023-04-18,,21.8104,22.3838,20.07,20.277157702608957
2023-05-17,,22.3838,21.2139,15.45,21.03418977267896
2023-06-15,,21.2139,20.0237,12.94,19.784645313046987
2023-07-14,,20.0237,20.7097,17.05,18.5027348963085
2023-08-14,,20.7097,20.4655,14.26,19.32975801488117
2023-09-12,,20.4655,24.6373,21.52,19.06789346188673
2023-10-11,,24.6373,22.2783,17.83,23.489240560602692
2023-11-09,,22.2783,19.8342,14.77,21.010103797432745
2023-12-08,,19.8342,19.473,14.61,18.398296125698646
2024-01-08,,19.473,17.3491,27.17,18.008318624705023
2024-02-06,,17.3491,18.6948,9.89,15.856751124266614
2024-03-06,,18.6948,20.1201,16.72,17.318799971329728
2024-04-04,,20.1201,18.4617,19.33,18.84844050357829
2024-05-03,,18.4617,18.437,18.13,17.042390059751398
2024-06-03,,18.437,18.3453,20.03,17.015629904846698
2024-07-02,,18.3453,18.6355,25.22,16.9162266522033
2024-07-31,,18.6355,19.4751,14.55,17.03681407472466
