,return,iv,ive,rv,realiv
2022-03-31,,61.0593,59.3731,52.44,59.11554407877748
2022-04-29,,59.3731,55.4575,61.35,57.37224449897251
2022-05-30,,55.4575,59.722,84.0,53.30988408813025
2022-06-28,,59.722,55.4011,64.47,57.61595363280836
2022-07-27,,55.4011,51.9014,31.69,53.124031381550125
2022-08-25,,51.9014,53.3874,55.93,49.46348300491912
2022-09-23,,53.3874,64.5137,88.75,50.84186179114743
2022-10-24,,64.5137,59.4737,76.96,62.42353658132593
2022-11-22,,59.4737,55.339,54.98,57.19966279026597
2022-12-21,,55.339,47.5948,39.39,53.50357207308537
2023-01-19,,47.5948,44.4875,37.31,45.44768740672996
2023-02-17,,44.4875,46.1132,45.15,42.18251960030175
2023-03-20,,46.1132,41.2215,35.95,44.147112434271214
2023-04-18,,41.2215,41.2057,28.72,39.009644759907566
2023-05-17,,41.2057,39.5914,42.94,38.99294852321614
2023-06-15,,39.5914,37.7235,31.95,37.35960047074484
2023-07-14,,37.7235,41.8049,38.77,35.37404762850412
2023-08-14,,41.8049,38.558,34.48,39.69773869357899
2023-09-12,,38.558,39.5391,24.67,36.15260560665638
2023-10-11,,39.5391,36.0363,31.23,37.19720361748235
2023-11-09,,36.0363,34.9075,52.03,33.45005898112053
2023-12-08,,34.9075,34.4973,30.64,32.28496115559479
2024-01-08,,34.4973,37.4647,31.21,31.84099351242459
2024-02-06,,37.4647,37.097,45.56,35.034110616059095
2024-03-06,,37.097,38.1187,34.0,34.90466389964776
2024-04-04,,38.1187,38.3011,32.46,35.9886571385676
2024-05-03,,38.3011,36.9713,30.72,36.18179672373075
2024-06-03,,36.9713,36.0929,23.62,35.27630438371336
2024-07-02,,36.0929,36.6393,40.06,34.35459296356739
2024-07-31,,36.6393,35.219,47.65,34.92819680104305
