,return,iv,ive,rv,realiv
2022-03-02,,41.8477,40.5532,52.97,40.37844256004547
2022-03-31,,40.5532,46.1594,41.49,39.03524892356767
2022-04-29,,46.1594,44.2899,56.7,44.83167224903496
2022-05-30,,44.2899,45.7822,44.1,42.14138955002843
2022-06-28,,45.7822,42.0241,33.51,43.70710820950347
2022-07-27,,42.0241,40.4744,36.43,39.75332001238695
2022-08-25,,40.4744,42.1682,37.01,37.8686644926403
2022-09-23,,42.1682,44.5881,46.01,39.67386780156626
2022-10-24,,44.5881,41.6688,48.8,42.23691935624751
2022-11-22,,41.6688,38.7003,36.19,39.142656891633656
2022-12-21,,38.7003,35.1399,23.7,35.98842451156718
2023-01-19,,35.1399,34.5253,28.64,32.12889744054049
2023-02-17,,34.5253,36.2199,28.26,31.455521277269742
2023-03-20,,36.2199,31.885,19.39,33.46891778935079
2023-04-18,,31.885,31.6746,18.79,28.721777921645483
2023-05-17,,31.6746,30.4856,32.79,28.488025328904808
2023-06-15,,30.4856,29.3865,24.87,28.467232188168744
2023-07-14,,29.3865,32.6721,23.34,27.286954453458357
2023-08-14,,32.6721,33.3767,37.96,30.797363840191107
2023-09-12,,33.3767,34.665,30.46,31.691076618655725
2023-10-11,,34.665,34.8835,39.94,33.04515788068666
2023-11-09,,34.8835,30.8793,33.93,33.27429648556837
2023-12-08,,30.8793,31.6694,39.92,29.17666042083973
2024-01-08,,31.6694,32.5113,28.67,30.01161843658212
2024-02-06,,32.5113,32.7844,34.77,30.898721211613204
2024-03-06,,32.7844,35.4866,28.26,31.18255877758517
2024-04-04,,35.4866,35.064,32.38,34.01226055582831
2024-05-03,,35.064,32.2312,44.53,33.57110639460002
2024-06-03,,32.2312,32.2856,28.94,30.65723201212515
2024-07-02,,32.2856,36.6884,46.68,30.7144198800054
2024-07-31,,36.6884,35.8898,42.19,35.31365622199535
