,return,iv,ive,rv,realiv
2022-03-31,,85.03,88.7428,78.13,85.03
2022-04-29,,88.7428,89.8147,103.53,88.7428
2022-05-30,,89.8147,85.7817,65.34,88.72639202569351
2022-06-28,,85.7817,80.1577,64.19,84.64155221105676
2022-07-27,,80.1577,75.3393,69.93,78.9363615521836
2022-08-25,,75.3393,74.9233,58.25,72.18000529256591
2022-09-23,,74.9233,76.0558,73.77,71.74568922544995
2022-10-24,,76.0558,71.9056,74.28,72.92755139989855
2022-11-22,,71.9056,68.428,62.89,66.11537553883286
2022-12-21,,68.428,61.9356,53.31,62.315477654278624
2023-01-19,,61.9356,61.7877,108.63,55.10758676117925
2023-02-17,,61.7877,62.6539,44.54,51.76911587603489
2023-03-20,,62.6539,59.4846,45.26,52.79993061080978
2023-04-18,,59.4846,55.5392,60.25,48.99733793234412
2023-05-17,,55.5392,51.695,51.07,48.95868511983866
2023-06-15,,51.695,50.3142,39.28,44.55023161582341
2023-07-14,,50.3142,52.0236,90.32,42.94029382367465
2023-08-14,,52.0236,49.5147,33.05,46.293640178932726
2023-09-12,,49.5147,55.4099,42.77,43.45516862407157
2023-10-11,,55.4099,54.1521,72.65,50.06898423242171
2023-11-09,,54.1521,54.6518,45.54,48.321822112423696
2023-12-08,,54.6518,54.5989,48.56,48.88115998106756
2024-01-08,,54.5989,58.9231,50.9,48.82200773283213
2024-02-06,,58.9231,54.6986,71.56,53.61417976118557
2024-03-06,,54.6986,55.9037,34.37,47.829570341084434
2024-04-04,,55.9037,57.1227,45.69,49.2031973630042
2024-05-03,,57.1227,49.2018,59.55,50.58392839966805
2024-06-03,,49.2018,50.2222,40.04,41.026349309496766
2024-07-02,,50.2222,55.447,47.49,42.24468708920502
2024-07-31,,55.447,48.1499,42.24,48.33956995490181
