,return,iv,ive,rv,realiv
2022-03-02,,42.4589,43.199,75.96,39.302176667724055
2022-03-31,,43.199,48.5404,39.51,40.100579828862735
2022-04-29,,48.5404,47.3039,74.33,45.80473047372938
2022-05-30,,47.3039,47.1514,50.44,44.48318557024495
2022-06-28,,47.1514,44.8293,39.3,44.3209810950395
2022-07-27,,44.8293,43.4957,33.58,41.84209580980438
2022-08-25,,43.4957,46.4725,40.77,40.41253236092231
2022-09-23,,46.4725,47.7732,41.29,43.60034529201108
2022-10-24,,47.7732,42.5957,56.32,44.9841693440325
2022-11-22,,42.5957,40.5878,34.83,39.74867837735992
2022-12-21,,40.5878,37.783,28.27,37.5890048165258
2023-01-19,,37.783,35.2026,30.75,34.54155270477574
2023-02-17,,35.2026,38.2307,25.88,31.457765356403677
2023-03-20,,38.2307,35.4742,25.69,34.813135120936046
2023-04-18,,35.4742,35.3893,45.0,31.761404567470745
2023-05-17,,35.3893,34.361,36.2,31.93849009562407
2023-06-15,,34.361,32.1232,17.43,30.79517683174228
2023-07-14,,32.1232,37.5557,64.25,28.276572871164507
2023-08-14,,37.5557,32.3078,19.88,34.323391405691204
2023-09-12,,32.3078,39.3766,24.54,28.810000787835957
2023-10-11,,39.3766,37.3113,28.83,36.56143914173933
2023-11-09,,37.3113,32.4942,34.62,34.327180371319585
2023-12-08,,32.4942,32.0822,35.58,29.08243110454023
2024-01-08,,32.0822,33.0813,26.71,28.62136129100657
2024-02-06,,33.0813,32.43,35.25,29.736966472731027
2024-03-06,,32.43,33.9314,32.35,29.567218339180588
2024-04-04,,33.9314,33.0965,23.49,31.20665644180383
2024-05-03,,33.0965,31.2793,26.79,30.29676241064013
2024-06-03,,31.2793,32.7536,28.32,28.512542024956023
2024-07-02,,32.7536,34.9614,32.86,30.122562261449197
2024-07-31,,34.9614,35.2188,36.01,32.50953605013279
