,return,iv,ive,rv,realiv
2022-02-01,,37.2006,37.1165,27.3,36.68787233677826
2022-03-02,,37.1165,35.7929,33.52,36.49569926183748
2022-03-31,,35.7929,38.4441,31.82,35.148729461681604
2022-04-29,,38.4441,39.2114,50.56,37.84508313071176
2022-05-30,,39.2114,45.0621,59.05,38.54554744344906
2022-06-28,,45.0621,42.0948,42.21,44.48390938491335
2022-07-27,,42.0948,37.3863,36.89,41.47526401115709
2022-08-25,,37.3863,44.8618,52.38,36.71505749376648
2022-09-23,,44.8618,44.0614,46.62,44.30396278348674
2022-10-24,,44.0614,39.7908,40.61,43.49329820835134
2022-11-22,,39.7908,38.2705,35.59,39.07192705271285
2022-12-21,,38.2705,33.5877,32.17,37.52251176590547
2023-01-19,,33.5877,31.8094,22.72,32.73287812372316
2023-02-17,,31.8094,35.1398,34.39,30.905430709383666
2023-03-20,,35.1398,30.7537,29.67,34.287529849473266
2023-04-18,,30.7537,31.0752,29.48,29.776151914384773
2023-05-17,,31.0752,28.2796,22.31,30.266558540222228
2023-06-15,,28.2796,26.5209,21.43,27.388542987692848
2023-07-14,,26.5209,25.2509,13.99,25.56862623682976
2023-08-14,,25.2509,24.8094,15.43,24.323106779171667
2023-09-12,,24.8094,28.5901,28.55,23.86444847342981
2023-10-11,,28.5901,27.5384,30.52,27.774077673092705
2023-11-09,,27.5384,25.7827,23.34,26.827673864752946
2023-12-08,,25.7827,26.4557,18.14,25.02215477778739
2024-01-08,,26.4557,25.4893,19.2,25.71506704100824
2024-02-06,,25.4893,24.1528,27.97,24.719729467038032
2024-03-06,,24.1528,24.8977,17.13,23.46713771835264
2024-04-04,,24.8977,24.7528,17.41,24.23312340871744
2024-05-03,,24.7528,24.0545,17.08,24.08158872681016
2024-06-03,,24.0545,23.8009,21.6,23.36323560676539
2024-07-02,,23.8009,24.4244,17.97,23.102048579665613
2024-07-31,,24.4244,25.2017,27.3,23.74390707375747
