,return,iv,ive,rv,realiv
2022-04-29,,34.1253,33.9533,48.54,33.31755239778578
2022-05-30,,33.9533,36.8928,45.97,33.14136054206587
2022-06-28,,36.8928,32.9022,33.25,36.146948550731096
2022-07-27,,32.9022,32.2708,30.19,32.06365485295151
2022-08-25,,32.2708,37.8591,38.81,31.42511651181238
2022-09-23,,37.8591,39.1565,45.45,37.14087866422903
2022-10-24,,39.1565,35.4877,69.01,38.46251301450522
2022-11-22,,35.4877,36.2862,35.43,34.5864439818864
2022-12-21,,36.2862,33.2372,32.87,35.40527596929822
2023-01-19,,33.2372,33.4788,40.37,32.2731578848765
2023-02-17,,33.4788,38.2534,32.49,32.592703145958495
2023-03-20,,38.2534,30.4437,22.88,37.480352993009184
2023-04-18,,30.4437,29.0691,25.34,29.466474485600965
2023-05-17,,29.0691,25.9521,26.33,28.21453008930152
2023-06-15,,25.9521,24.8886,26.67,24.99117099617585
2023-07-14,,24.8886,26.2549,34.69,23.88492292870339
2023-08-14,,26.2549,24.8762,16.0,25.436947201364365
2023-09-12,,24.8762,27.5915,24.73,24.01132723018448
2023-10-11,,27.5915,27.386,28.75,26.814350284222787
2023-11-09,,27.386,26.1555,24.6,26.56074943846542
2023-12-08,,26.1555,24.5745,26.17,25.290128409775644
2024-01-08,,24.5745,26.5293,24.32,23.65135228655945
2024-02-06,,26.5293,25.3849,27.11,25.676529617978773
2024-03-06,,25.3849,25.5896,19.67,24.39542375971814
2024-04-04,,25.5896,24.2817,28.77,24.60835590945117
2024-05-03,,24.2817,24.4479,13.61,23.113507562716467
2024-06-03,,24.4479,23.3743,17.25,23.28804610463813
2024-07-02,,23.3743,23.9595,21.18,22.15832072725168
2024-07-31,,23.9595,25.0286,27.06,22.52816865767508
