,return,iv,ive,rv,realiv
2022-02-01,,40.464,40.9522,36.29,38.91831460574674
2022-03-02,,40.9522,37.4111,37.43,38.72044266880377
2022-03-31,,37.4111,42.6526,41.79,34.953975436824344
2022-04-29,,42.6526,42.2985,61.37,40.514618132078205
2022-05-30,,42.2985,40.3781,34.69,39.89300488701162
2022-06-28,,40.3781,37.667,23.81,37.85075555752003
2022-07-27,,37.667,37.225,41.86,34.9441214750798
2022-08-25,,37.225,42.6408,37.6,33.993788598515444
2022-09-23,,42.6408,42.1243,36.34,39.85115886546536
2022-10-24,,42.1243,40.6334,61.65,39.29801125719416
2022-11-22,,40.6334,40.2812,35.08,37.23233777248455
2022-12-21,,40.2812,38.8278,21.54,36.84764380370039
2023-01-19,,38.8278,35.6154,44.94,35.25296914139828
2023-02-17,,35.6154,35.8627,27.8,31.765450864411196
2023-03-20,,35.8627,33.8845,27.16,32.042478099381164
2023-04-18,,33.8845,33.8662,25.18,29.81185153104922
2023-05-17,,33.8662,29.3452,41.1,29.791049895888555
2023-06-15,,29.3452,28.8985,21.28,25.175130419501183
2023-07-14,,28.8985,29.1008,19.4,24.65298624606954
2023-08-14,,29.1008,29.5425,22.22,25.378118042340187
2023-09-12,,29.5425,31.8016,21.83,25.883423671936303
2023-10-11,,31.8016,31.6157,33.12,28.434733641990608
2023-11-09,,31.6157,28.7097,15.17,28.995599309200863
2023-12-08,,28.7097,28.1047,22.79,25.79610759203275
2024-01-08,,28.1047,28.1072,15.5,25.121036103228896
2024-02-06,,28.1072,28.6055,37.56,25.123833000753084
2024-03-06,,28.6055,30.0099,22.17,26.422875693451992
2024-04-04,,30.0099,31.2788,19.07,27.9372122387259
2024-05-03,,31.2788,25.7619,21.05,29.296024629659502
2024-06-03,,25.7619,27.522,18.96,23.129600741139267
2024-07-02,,27.522,30.1684,16.45,25.07515548973745
2024-07-31,,30.1684,27.7566,32.82,27.954164222786385
