,return,iv,ive,rv,realiv
2022-02-01,,28.9272,29.7226,28.95,28.37574194854743
2022-03-02,,29.7226,28.3853,34.87,29.186174501817717
2022-03-31,,28.3853,33.02,31.27,27.823103482188223
2022-04-29,,33.02,30.2759,31.07,32.537981364715215
2022-05-30,,30.2759,30.6676,33.16,29.761548680827424
2022-06-28,,30.6676,28.4713,27.1,30.15992952298232
2022-07-27,,28.4713,27.7319,27.74,27.923727952428926
2022-08-25,,27.7319,31.5436,29.53,27.02555869342005
2022-09-23,,31.5436,33.4695,38.82,30.92444415088964
2022-10-24,,33.4695,27.354,34.03,32.88662304541912
2022-11-22,,27.354,28.1723,20.84,26.498786565633807
2022-12-21,,28.1723,26.9947,28.66,27.342693004549037
2023-01-19,,26.9947,25.1417,23.71,26.12772859513461
2023-02-17,,25.1417,28.9877,30.49,24.348110303349664
2023-03-20,,28.9877,26.3443,25.02,28.30215800507237
2023-04-18,,26.3443,25.5856,28.88,25.58803507391848
2023-05-17,,25.5856,22.8296,24.95,24.92141916777646
2023-06-15,,22.8296,22.5184,14.9,22.08268195070553
2023-07-14,,22.5184,21.92,18.1,21.760802938678896
2023-08-14,,21.92,22.1581,20.51,21.09746032712574
2023-09-12,,22.1581,26.5262,22.63,21.344737708968097
2023-10-11,,26.5262,24.6997,50.56,25.85064251995769
2023-11-09,,24.6997,23.7325,16.17,23.848401842941197
2023-12-08,,23.7325,23.7107,15.87,22.84518869745665
2024-01-08,,23.7107,23.0606,29.92,22.82254115698777
2024-02-06,,23.0606,26.0968,17.2,22.08945909019528
2024-03-06,,26.0968,26.3304,16.11,25.24273956561393
2024-04-04,,26.3304,24.5551,24.4,25.484169492008387
2024-05-03,,24.5551,25.2571,22.0,23.05181985768374
2024-06-03,,25.2571,26.7825,24.96,23.798205040529893
2024-07-02,,26.7825,27.764,28.73,25.41133150763852
2024-07-31,,27.764,26.8317,24.78,26.443773534446677
