,return,iv,ive,rv,realiv
2022-04-29,,34.6414,33.9014,41.1,33.845001509067885
2022-05-30,,33.9014,35.2631,41.28,33.08719473072336
2022-06-28,,35.2631,33.0921,27.57,34.48106371327322
2022-07-27,,33.0921,30.3268,24.37,32.257473794437274
2022-08-25,,30.3268,36.0341,36.02,29.27623258127904
2022-09-23,,36.0341,37.0543,35.86,35.154506947518755
2022-10-24,,37.0543,33.1856,28.04,36.19950475356181
2022-11-22,,33.1856,31.2523,27.83,32.30666006335371
2022-12-21,,31.2523,28.4156,22.72,30.31736288629164
2023-01-19,,28.4156,25.9166,24.03,27.38398364827685
2023-02-17,,25.9166,29.5096,26.13,24.68419730576561
2023-03-20,,29.5096,25.56,18.99,28.433359513605957
2023-04-18,,25.56,25.1433,19.82,24.309525726964857
2023-05-17,,25.1433,23.3983,23.52,23.81671922686256
2023-06-15,,23.3983,22.5238,17.93,21.96658878231221
2023-07-14,,22.5238,23.0543,41.24,21.03264477618554
2023-08-14,,23.0543,22.2944,14.28,21.84784994256453
2023-09-12,,22.2944,24.507,24.24,21.04443085433333
2023-10-11,,24.507,23.2472,19.51,23.37564646427596
2023-11-09,,23.2472,22.8221,18.92,21.961221052492004
2023-12-08,,22.8221,22.3014,13.88,21.510722226053176
2024-01-08,,22.3014,20.92,30.84,20.95746559668936
2024-02-06,,20.92,21.333,14.91,19.466849859001943
2024-03-06,,21.333,22.0576,12.52,19.91001588228708
2024-04-04,,22.0576,21.6861,38.61,20.68452467892177
2024-05-03,,21.6861,21.8322,16.68,20.22024053226192
2024-06-03,,21.8322,21.4793,11.79,20.37685330988393
2024-07-02,,21.4793,23.1138,24.66,19.998287988288592
2024-07-31,,23.1138,22.7203,22.99,21.503958556511016
